,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM POLAR,BPM RAYAN
0,10,0,0,6.5,4.02,,72
1,20,0,0,4.47,2.17,,72
2,30,0,0,4.48,2.21,,72
3,40,1,0,4.06,2.39,,72
4,50,3,0,7.16,4.16,,72
5,60,0,0,3.74,1.92,,75
6,70,0,0,3.63,2.2,,75
7,80,1,0,3.4,3.17,,75
8,90,0,0,4.66,2.3,,75
9,100,0,0,3.82,1.97,,75
10,110,0,0,4.62,2.32,,72
11,120,1,0,6.01,4.4,,72
12,130,2,0,5.66,4.48,,72
13,140,0,0,4.02,2.76,,72
14,150,2,0,6.03,2.49,,72
15,160,1,0,4.15,3.56,,71
16,170,2,0,4.22,5.27,,71
17,180,0,0,2.86,2.38,,71
18,190,0,0,3.46,2.92,,71
19,200,2,0,3.04,2.4,,71
20,210,0,0,4.44,2.95,,73
21,220,1,0,6.87,2.61,,73
22,230,0,0,4.31,2.17,,73
23,240,2,0,4.74,3.16,,73
24,250,1,0,3.28,1.49,,73
25,260,2,0,3.07,2.68,,73
26,270,1,0,2.35,2.64,,73
27,280,0,0,2.86,2.49,,73
28,290,1,0,5.46,3.69,,73
29,300,0,0,5.98,1.85,,73
30,310,2,0,7.7,2.19,,71
31,320,2,0,4.13,2.9,,71
32,330,1,0,4.19,3.5,,71
33,340,2,0,6.3,3.4,,71
34,350,1,0,4.09,3.68,,71
35,360,0,0,4.55,1.68,,75
36,370,1,0,4.44,3.35,,75
37,380,1,0,5.61,2.96,,75
38,390,2,0,4.48,2.01,,75
39,400,0,0,3.27,1.95,,75
40,410,1,0,4.48,2.92,,73
41,420,0,0,3.33,1.73,,73
42,430,1,0,4.1,2.59,,73
43,440,2,0,9.44,4.31,,73
44,450,0,0,4.53,3.38,,73
45,460,1,0,6.36,3.5,,74
46,470,1,0,4.12,2.51,,74
47,480,0,0,3.76,2.74,,74
48,490,2,0,4.85,4.14,,74
49,500,0,0,4.4,2.3,,74
50,510,1,0,5.15,2.41,,72
51,520,0,0,5.31,2.11,,72
52,530,1,0,4.94,7.69,,72
53,540,0,0,4.75,1.76,,72
54,550,1,0,5.81,2.48,,72
55,560,0,0,5.41,2.62,,71
56,570,1,0,4.65,2.46,,71
57,580,1,0,4.91,3.26,,71
58,590,2,0,5.26,3.43,,71
59,10,1,0,5.26,3.7,,71
60,20,2,0,5.4,4.02,,70
61,30,1,0,5.89,2.75,,70
62,40,4,0,8.17,3.85,,70
63,50,4,0,10.73,9.7,,70
64,60,4,0,8.98,8.05,,70
65,70,1,0,4.55,3.66,,72
66,80,1,0,4.13,2.32,,72
67,90,1,0,5.97,2.23,,72
68,100,0,0,4.39,1.87,,72
69,110,1,0,4.0,3.59,,72
70,120,0,0,5.3,3.2,,74
71,130,1,0,5.28,2.99,,74
72,140,1,0,6.62,2.76,,74
73,150,0,0,6.23,2.66,,74
74,160,0,0,5.79,2.84,,74
75,170,1,0,5.34,2.44,,74
76,180,0,0,4.83,2.25,,74
77,190,0,0,3.63,2.32,,74
78,200,0,0,4.15,2.6,,74
79,210,2,0,3.87,4.05,,74
80,220,2,0,5.25,3.03,,72
81,230,1,0,4.08,3.14,,72
82,240,0,0,5.5,2.0,,72
83,250,1,0,6.85,2.1,,72
84,260,1,0,4.36,2.29,,72
85,270,0,0,4.46,2.55,,74
86,280,1,0,4.74,3.48,,74
87,290,0,0,5.31,3.06,,74
88,300,1,0,4.88,3.17,,74
89,310,4,0,5.69,4.21,,74
90,320,3,0,4.5,5.08,,73
91,330,2,0,4.9,2.7,,75
92,340,0,0,4.79,3.74,,70
93,350,1,0,4.96,3.17,,70
