,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,30,0,4.62,3.63,73
1,20,26,0,7.41,4.45,73
2,30,7,0,8.17,3.78,73
3,40,16,0,8.37,9.48,73
4,50,12,0,10.8,5.9,73
5,60,10,0,12.61,7.67,74
6,70,7,0,7.26,4.12,74
7,80,1,0,9.47,4.74,74
8,90,3,0,9.68,6.75,74
9,100,4,0,11.72,6.07,74
10,110,6,0,5.91,7.29,72
11,120,1,0,8.71,5.37,72
12,130,11,0,9.09,5.38,72
13,140,3,0,7.74,11.63,72
14,150,13,0,9.23,6.14,72
15,160,16,0,13.89,4.17,72
16,170,7,0,6.89,5.26,72
17,180,2,0,9.72,9.38,72
18,190,2,0,5.53,9.67,72
19,200,1,0,7.82,11.49,72
20,210,9,0,9.07,6.31,73
21,220,12,0,10.42,4.07,73
22,230,4,0,9.64,6.15,73
23,240,3,0,7.46,7.57,73
24,250,8,0,8.54,3.55,73
25,260,2,0,7.87,11.54,72
26,270,19,0,9.59,4.77,72
27,280,22,0,6.78,4.3,72
28,290,16,0,7.47,9.89,72
29,300,14,0,8.35,4.62,72
30,310,6,0,9.55,5.86,72
31,320,6,0,7.81,4.36,72
32,330,3,0,7.17,3.78,72
33,340,8,0,8.7,4.38,72
34,350,18,0,11.17,6.32,72
35,360,16,0,7.61,6.14,73
36,370,4,0,6.17,8.92,73
37,380,19,0,11.31,8.8,73
38,390,18,0,7.76,3.35,73
39,400,6,0,8.57,7.59,73
40,410,19,0,11.43,7.63,71
41,420,19,0,6.93,2.66,71
42,430,2,0,7.41,4.18,71
43,440,6,0,5.85,2.17,71
44,450,1,0,7.29,5.82,71
45,460,8,0,7.21,10.24,71
46,470,12,0,9.44,6.43,71
47,480,6,0,6.8,7.85,71
48,490,6,0,10.21,6.07,71
49,500,3,0,9.36,4.79,71
50,510,2,0,8.16,11.04,73
51,520,13,0,8.89,5.26,73
52,530,12,0,7.33,9.5,73
53,540,3,0,5.95,10.5,73
54,550,3,0,6.8,10.48,73
55,560,7,0,6.8,7.35,72
56,570,3,0,6.64,9.85,72
57,580,6,0,7.21,10.03,72
58,590,3,0,5.92,4.77,72
59,600,4,0,5.88,4.27,72
60,610,3,0,4.69,4.84,72
61,620,12,0,7.84,13.83,72
62,630,4,0,9.15,6.49,72
63,640,1,0,5.43,6.54,72
64,650,3,0,7.23,11.93,72
65,660,15,0,8.38,12.92,70
66,670,18,0,8.9,10.54,70
67,680,4,0,7.38,11.73,70
68,690,2,0,8.04,7.93,70
69,700,3,0,5.82,6.97,70
70,710,18,0,8.32,4.01,70
71,720,15,0,10.9,9.16,70
72,730,2,0,7.78,12.5,70
73,740,4,0,8.76,6.24,70
74,750,3,0,9.0,6.92,70
75,760,1,0,9.47,7.52,70
76,770,10,0,8.03,3.81,70
77,780,7,0,7.67,12.46,70
78,790,1,0,4.83,2.49,70
79,800,5,0,7.3,13.13,70
80,810,5,0,7.86,4.12,73
81,820,2,0,11.4,4.77,73
82,830,2,0,10.05,12.09,73
83,840,1,0,6.21,2.67,73
84,850,8,0,9.61,3.8,73
85,860,17,0,7.39,9.09,73
86,870,6,0,7.02,3.95,73
87,880,17,0,13.77,10.82,73
88,890,5,0,9.3,11.21,73
89,900,2,0,10.55,8.85,73
90,910,3,0,7.26,7.33,73
91,920,3,0,7.08,5.51,73
92,930,4,0,10.76,6.32,73
93,940,6,0,8.37,8.11,73
94,950,11,0,6.6,4.59,73
95,960,11,0,4.01,5.27,73
96,970,19,0,8.67,3.36,73
97,980,22,0,10.42,3.95,73
98,990,13,0,5.83,10.03,73
99,1000,8,0,6.4,8.57,73
100,1010,7,0,9.52,4.39,73
101,1020,1,0,9.94,6.2,73
102,1030,2,0,9.25,7.27,73
103,1040,3,0,10.75,4.52,73
104,1050,2,0,9.71,4.99,73
105,1060,2,0,6.76,14.17,71
106,1070,21,0,6.92,8.9,71
107,1080,21,0,4.76,5.93,71
108,1090,7,0,8.14,4.21,71
