,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,7,0,3.05,5.14,96
1,20,6,0,4.44,4.38,96
2,30,3,1,4.73,4.15,96
3,40,5,0,4.48,4.56,96
4,50,4,0,5.9,4.12,96
5,60,4,0,3.03,5.05,94
6,70,4,0,3.88,5.16,94
7,80,4,0,5.26,4.28,94
8,90,4,0,3.7,4.61,94
9,100,7,0,2.92,2.85,94
10,110,8,0,3.35,5.25,98
11,120,10,0,2.73,5.38,98
12,130,7,0,3.42,3.99,98
13,140,6,0,5.63,4.65,98
14,150,7,0,3.74,3.99,98
15,160,9,0,2.77,4.32,95
16,170,7,0,3.3,4.65,95
17,180,7,0,4.46,4.86,95
18,190,4,0,5.33,3.69,95
19,200,15,0,3.52,4.83,95
20,210,12,1,3.74,4.77,99
21,220,18,0,3.47,5.33,99
22,230,22,0,3.44,4.54,99
23,240,10,0,3.0,5.33,99
24,250,7,0,3.06,4.06,99
25,260,13,0,6.16,5.18,98
26,270,24,0,4.6,4.08,98
27,280,18,0,6.04,3.9,98
28,290,21,0,4.98,3.79,98
29,300,16,0,8.7,4.92,98
30,310,21,0,10.04,4.56,97
31,320,10,0,11.54,4.83,97
32,330,10,0,8.86,5.05,97
33,340,19,0,5.35,5.69,97
34,350,19,0,3.91,5.24,97
35,360,16,0,8.55,5.9,95
36,370,15,0,13.28,3.57,95
37,380,12,0,11.94,4.09,95
38,390,10,0,10.68,5.0,95
39,400,12,0,6.3,7.28,95
40,410,7,0,4.52,4.49,98
41,420,16,0,3.85,6.99,98
42,430,10,0,4.35,4.36,98
43,440,9,0,2.71,4.67,98
44,450,23,0,3.72,3.24,98
45,460,19,0,3.59,4.0,96
46,470,5,0,6.73,4.71,96
47,480,21,0,6.2,5.3,96
48,490,10,0,3.99,3.36,96
49,500,27,0,5.35,3.26,96
50,510,17,0,4.66,3.21,99
51,520,27,0,5.61,4.13,99
52,530,13,0,7.46,4.35,99
53,540,28,0,7.49,3.63,99
54,550,23,0,9.13,4.33,99
55,560,12,0,8.14,5.98,98
56,570,8,0,6.05,5.57,98
57,580,14,0,3.99,5.85,98
58,590,24,0,4.52,3.41,98
59,600,10,0,5.4,6.92,98
60,610,11,0,4.18,5.27,93
61,620,30,0,2.91,4.89,93
62,630,23,0,5.54,3.8,93
63,10,5,0,3.9,4.71,93
64,20,4,0,6.98,3.13,93
65,30,6,0,4.29,3.28,91
66,40,4,0,4.35,4.01,91
67,50,10,0,9.19,4.52,91
68,60,5,0,3.62,4.37,91
69,70,5,0,3.49,3.6,91
70,80,8,0,2.94,3.93,98
71,90,9,0,4.53,4.51,98
72,100,12,0,3.89,4.84,98
73,110,8,0,3.22,4.07,98
74,120,11,0,8.28,6.13,98
75,130,11,0,5.8,4.8,94
76,140,11,0,5.19,6.01,94
77,150,14,0,4.0,5.58,94
78,160,7,0,6.31,4.69,94
79,170,5,0,3.37,3.95,94
80,180,6,0,4.69,4.12,98
81,190,3,0,2.57,3.21,98
82,200,6,0,5.98,4.86,98
83,210,11,0,5.48,5.63,98
84,220,11,0,4.05,5.75,98
85,230,7,0,3.61,6.52,94
86,240,8,0,4.72,5.45,94
87,250,7,0,5.29,4.96,94
88,260,9,0,7.17,5.86,94
89,270,9,0,5.61,4.82,94
90,280,8,0,4.43,5.05,95
91,290,6,0,3.55,4.56,95
92,300,7,0,5.25,7.38,95
93,310,12,0,7.67,5.88,95
94,320,6,0,6.98,9.79,95
95,330,7,0,6.73,5.48,97
96,340,7,0,4.21,6.45,97
97,350,11,0,3.79,5.39,97
98,360,12,0,5.31,6.5,97
99,370,10,0,5.19,8.37,97
100,380,19,6,5.23,6.88,99
101,390,21,0,4.14,6.68,99
102,400,17,0,4.65,7.51,99
103,410,7,0,5.29,5.38,99
104,420,11,0,5.23,5.42,99
105,430,12,0,11.55,6.24,95
106,440,5,0,8.14,11.4,95
107,450,3,0,7.05,7.22,95
108,460,5,0,5.27,4.03,95
109,470,6,0,4.43,2.63,95
110,480,8,0,6.25,5.67,95
111,490,7,0,9.32,6.44,95
112,500,14,0,7.26,6.54,95
113,510,9,0,3.45,2.84,95
114,520,10,0,7.65,5.12,95
115,530,6,0,8.16,6.28,95
116,540,18,0,4.07,2.81,95
117,550,19,0,3.12,3.66,95
118,560,15,0,4.28,4.72,92
119,570,7,0,6.79,5.58,94
120,580,15,0,9.53,8.38,93
121,590,5,0,8.9,6.57,92
122,600,4,0,5.04,5.06,91
