,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,2,0,7.53,4.62,72
1,20,3,0,6.75,6.43,72
2,30,3,0,5.67,5.5,72
3,40,3,0,7.66,5.89,72
4,50,5,0,5.89,4.15,72
5,60,3,0,8.27,6.38,71
6,70,4,0,5.89,4.88,71
7,80,3,0,5.71,4.53,71
8,90,0,0,7.53,4.37,71
9,100,2,0,4.14,4.2,71
10,110,3,0,6.14,4.68,71
11,120,4,0,6.12,3.99,71
12,130,3,0,3.88,4.09,71
13,140,2,0,6.03,5.23,71
14,150,3,0,4.17,3.7,71
15,160,1,0,3.88,2.58,71
16,170,2,1,7.68,5.56,71
17,180,4,0,8.21,7.27,71
18,190,4,0,4.75,3.81,71
19,200,7,0,6.51,3.24,71
20,210,7,0,5.75,3.26,72
21,220,4,0,8.02,5.26,72
22,230,4,0,7.3,6.85,72
23,240,3,0,5.15,5.47,72
24,250,7,0,6.38,3.39,72
25,260,2,0,8.24,7.4,73
26,270,3,0,5.95,2.71,73
27,280,5,0,9.26,7.36,73
28,290,4,0,4.29,3.15,73
29,300,2,0,7.95,6.27,73
30,310,1,0,6.51,4.97,72
31,320,3,0,4.92,7.36,72
32,330,3,0,5.51,4.01,72
33,340,3,0,4.9,3.49,72
34,350,5,0,10.76,8.09,72
35,360,5,0,10.35,8.34,71
36,370,3,0,8.52,6.44,71
37,380,3,0,8.21,8.17,71
38,390,3,0,7.05,6.43,71
39,400,4,0,5.26,6.44,71
40,410,3,0,4.13,4.05,70
41,420,5,0,5.45,4.14,70
42,430,5,0,8.11,4.99,70
43,440,2,0,8.02,7.74,70
44,450,2,0,4.84,6.36,70
45,460,6,0,5.67,10.04,74
46,470,5,0,6.54,6.59,74
47,480,4,0,4.45,4.44,74
48,490,1,0,4.07,3.32,74
49,500,3,0,5.91,4.6,74
50,510,6,0,5.74,4.27,74
51,520,6,0,6.1,6.96,74
52,530,6,0,7.9,7.69,74
53,540,1,0,5.02,4.11,74
54,550,1,0,4.94,6.99,74
55,560,8,0,5.36,4.24,72
56,570,5,0,4.59,2.99,72
57,580,5,0,5.48,4.25,72
58,590,5,0,6.53,4.99,72
59,600,3,0,3.7,4.93,72
60,610,5,0,7.08,9.43,69
61,620,2,0,6.15,6.46,69
62,630,6,0,5.47,4.42,69
63,640,4,1,3.95,4.6,69
64,650,5,0,4.72,3.32,69
65,10,2,0,4.62,4.03,73
66,20,3,0,5.69,7.12,73
67,30,2,0,7.09,8.23,73
68,40,4,0,3.7,4.96,73
69,50,7,0,5.45,4.99,73
70,60,15,0,5.49,5.46,70
71,70,8,0,7.21,5.85,70
72,80,4,0,7.52,4.45,70
73,90,4,0,4.91,4.71,70
74,100,4,1,5.01,4.18,70
75,110,4,0,4.92,4.06,71
76,120,0,0,3.13,2.68,71
77,130,0,0,4.31,3.3,71
78,140,10,0,7.7,6.81,71
79,150,7,0,5.22,5.8,71
80,160,9,0,9.05,7.9,70
81,170,9,0,8.27,4.73,70
82,180,1,0,4.35,3.14,70
83,190,2,0,4.92,4.05,70
84,200,3,0,3.31,3.51,70
85,210,3,0,5.58,4.67,72
86,220,3,0,3.9,5.24,72
87,230,3,0,7.21,4.34,72
88,240,5,0,5.69,4.53,72
89,250,2,0,7.27,5.35,72
90,260,4,0,5.49,5.95,72
91,270,5,0,5.28,5.13,72
92,280,6,0,4.62,4.26,72
93,290,4,0,9.49,6.82,72
94,300,0,0,2.94,2.84,72
95,310,5,0,7.44,5.73,70
96,320,4,0,3.6,4.46,70
97,330,0,0,4.27,6.15,70
98,340,3,0,3.61,4.44,70
99,350,3,0,6.4,5.8,70
100,360,7,0,4.74,5.79,70
101,370,7,0,7.28,4.81,70
102,380,4,0,6.66,5.91,70
103,390,4,0,4.89,4.21,70
104,400,20,0,4.72,3.6,70
105,410,3,0,4.0,4.11,71
106,420,1,0,4.43,4.77,71
107,430,2,0,3.27,2.02,71
108,440,2,0,3.73,3.72,71
109,450,3,0,3.51,4.42,71
110,460,0,0,4.64,4.05,70
111,470,2,0,3.3,3.21,70
112,480,7,0,4.37,4.09,70
113,490,5,0,3.95,4.9,70
114,500,10,0,4.8,4.88,70
115,510,6,0,4.49,5.33,72
116,520,3,0,5.45,4.29,72
117,530,7,0,4.45,4.61,72
118,540,6,0,5.9,3.81,72
