,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM POLAR,BPM RAYAN
0,10,1,0,4.45,2.07,,73
1,20,1,0,4.12,6.08,,73
2,30,1,0,3.69,4.21,,73
3,40,2,0,4.44,4.71,,73
4,50,4,0,3.67,7.27,,73
5,60,5,0,3.88,4.4,,73
6,70,4,0,3.37,4.69,,73
7,80,3,0,7.78,5.64,,73
8,90,5,0,9.71,4.47,,73
9,100,1,0,3.41,4.13,,73
10,110,1,0,2.81,3.69,,75
11,120,7,0,7.48,5.61,,75
12,130,4,0,4.93,6.35,,75
13,140,3,0,3.29,5.28,,75
14,150,3,0,6.29,5.05,,75
15,160,4,0,5.95,5.06,,75
16,170,0,0,11.77,5.82,,75
17,180,3,0,9.29,8.42,,75
18,190,4,0,4.64,2.53,,75
19,200,3,0,3.89,3.58,,75
20,210,4,0,3.03,4.16,,75
21,220,4,0,5.82,6.48,,75
22,230,0,0,3.15,3.47,,75
23,240,2,0,3.42,3.57,,75
24,250,6,0,7.8,5.02,,75
25,260,3,0,7.61,4.89,,74
26,270,5,0,6.09,4.93,,74
27,280,4,0,3.14,5.15,,74
28,290,1,0,4.39,3.57,,74
29,300,2,0,3.29,4.93,,74
30,310,1,0,7.57,4.99,,74
31,320,3,0,9.6,3.65,,74
32,330,2,0,9.75,4.11,,74
33,340,3,0,5.01,4.63,,74
34,350,1,0,7.6,3.9,,74
35,360,1,0,4.46,5.03,,75
36,370,1,0,4.01,2.6,,75
37,380,3,0,11.07,2.67,,75
38,390,2,0,3.63,4.59,,75
39,400,3,0,4.05,6.66,,75
40,410,2,0,2.48,3.17,,74
41,420,5,0,2.98,3.89,,74
42,430,3,0,4.55,5.36,,74
43,440,5,0,4.18,4.45,,74
44,450,3,0,2.31,3.01,,74
45,460,4,0,5.3,5.66,,74
46,470,3,0,6.2,4.36,,74
47,480,3,0,11.47,5.81,,74
48,490,3,0,3.43,5.74,,74
49,500,6,0,3.48,4.48,,74
50,510,2,0,6.27,3.44,,76
51,520,4,0,4.25,6.6,,76
52,530,5,0,5.31,4.53,,76
53,540,4,0,3.1,4.37,,76
54,550,3,0,2.9,4.48,,76
55,560,5,0,5.4,7.03,,74
56,570,4,0,5.49,7.49,,74
57,580,1,0,3.57,6.55,,74
58,590,1,0,3.2,3.69,,74
59,600,3,0,5.53,3.97,,74
60,610,6,0,7.25,4.82,,76
61,620,4,0,5.83,4.29,,76
62,630,2,0,2.95,5.45,,76
63,640,2,0,5.18,4.13,,76
64,650,1,0,5.33,3.06,,76
65,10,3,0,6.7,4.37,,75
66,20,4,0,4.36,4.66,,75
67,30,9,0,10.12,3.55,,75
68,40,5,0,2.98,4.26,,75
69,50,14,0,11.1,6.23,,75
70,60,4,0,10.01,4.94,,73
71,70,8,0,5.28,6.07,,73
72,80,4,0,7.84,3.55,,73
73,90,4,0,11.03,3.34,,73
74,100,2,0,4.11,4.99,,73
75,110,2,0,3.6,5.01,,74
76,120,7,0,8.67,7.25,,74
77,130,6,0,7.12,4.87,,74
78,140,7,0,2.7,4.22,,74
79,150,13,0,11.63,5.78,,74
80,160,0,0,2.62,2.73,,73
81,170,2,0,3.09,4.18,,73
82,180,6,0,4.61,4.77,,73
83,190,11,0,3.58,5.39,,73
84,200,1,0,4.13,3.34,,73
85,210,8,0,5.36,4.54,,74
86,220,6,0,3.3,5.53,,74
87,230,10,0,4.13,4.88,,74
88,240,4,0,3.53,4.85,,74
89,250,7,0,3.85,5.51,,74
90,260,7,0,12.67,4.66,,74
91,270,4,0,3.5,5.7,,74
92,280,9,0,2.43,4.65,,74
93,290,7,0,6.09,6.29,,74
94,300,4,0,13.52,4.74,,74
95,310,6,0,3.29,3.65,,73
96,320,13,0,6.28,5.78,,73
97,330,8,0,6.92,5.36,,73
98,340,14,0,3.45,5.83,,73
99,350,6,0,11.52,5.19,,73
100,360,5,0,5.63,5.17,,73
101,370,4,0,10.5,4.2,,73
102,380,9,0,11.88,7.26,,73
103,390,11,0,12.15,6.48,,73
104,400,4,0,4.74,3.94,,73
105,410,2,0,8.13,3.94,,74
106,420,8,0,4.53,6.69,,74
107,430,14,0,4.38,3.99,,74
108,440,8,0,12.2,4.1,,74
109,450,7,0,10.08,4.56,,74
110,460,10,0,5.07,5.21,,72
111,470,9,0,14.48,7.32,,72
112,480,5,0,10.81,4.39,,72
113,490,5,0,4.63,4.05,,72
114,500,7,0,9.38,4.44,,72
115,510,4,0,8.12,5.01,,75
116,520,5,0,11.57,4.23,,75
117,530,3,0,7.85,4.55,,75
118,540,3,0,9.01,7.33,,75
119,550,4,0,14.29,4.57,,75
120,560,6,0,9.74,4.19,,75
121,570,1,0,4.48,4.31,,75
122,580,7,0,4.76,6.29,,75
123,590,4,0,11.45,5.59,,75
124,600,5,0,4.71,3.77,,75
125,610,5,0,3.5,3.57,,73
126,620,5,0,10.28,5.12,,73
127,630,6,0,3.82,4.63,,73
128,640,7,0,3.56,5.57,,73
129,650,7,0,6.51,4.96,,73
130,10,6,0,4.44,5.0,,71
131,20,2,0,7.48,3.73,,71
132,30,2,0,9.69,4.15,,71
133,40,4,0,4.6,6.75,,71
134,50,2,0,4.41,4.22,,71
135,60,7,0,4.24,5.23,,71
136,70,5,0,3.84,4.75,,71
137,80,7,0,3.9,4.58,,71
138,90,3,0,3.98,4.35,,71
139,100,3,0,4.88,4.2,,71
140,110,8,0,7.66,4.57,,73
141,120,16,0,5.01,4.66,,73
142,130,13,0,10.64,5.84,,73
143,140,11,0,4.64,4.5,,73
144,150,9,0,4.26,3.55,,73
145,160,1,0,5.27,3.66,,70
146,170,9,0,7.75,4.58,,70
147,180,6,0,7.94,4.12,,70
148,190,4,0,8.87,6.21,,70
149,200,6,0,6.55,5.36,,70
150,210,14,0,8.21,3.72,,76
151,220,12,0,6.98,3.77,,76
152,230,16,0,8.52,4.82,,76
153,240,6,0,8.47,4.09,,76
154,250,8,0,10.02,5.97,,76
155,260,6,0,10.02,4.34,,72
156,270,13,0,12.54,5.16,,72
157,280,11,0,12.28,4.05,,72
158,290,9,0,10.0,5.4,,72
159,300,4,0,4.47,3.69,,72
160,310,6,0,10.02,4.45,,74
161,320,11,0,5.35,5.16,,74
162,330,16,0,11.96,4.69,,74
163,340,5,0,3.11,2.58,,74
164,350,7,0,15.45,4.9,,74
165,360,5,0,7.09,5.47,,73
166,370,1,0,11.42,4.01,,73
167,380,7,0,9.23,6.04,,73
168,390,4,0,9.53,6.22,,73
169,400,9,0,5.68,6.78,,73
170,410,4,0,4.56,3.8,,75
171,420,11,0,11.87,4.91,,75
172,430,10,0,7.43,4.19,,75
173,440,6,0,4.5,3.22,,75
174,450,5,0,11.77,3.68,,75
175,460,5,0,10.2,5.6,,75
176,470,7,0,10.0,4.05,,75
177,480,7,0,6.22,7.37,,75
178,490,5,0,13.8,5.08,,75
179,500,8,0,4.66,4.49,,75
180,510,8,0,5.69,6.65,,74
181,520,3,0,9.7,5.97,,74
182,530,1,0,7.6,3.35,,74
183,540,1,0,3.9,4.48,,74
184,550,6,0,3.5,4.61,,74
185,560,11,0,6.02,6.36,,71
186,570,11,0,11.33,5.54,,71
187,580,8,0,5.12,5.97,,71
188,590,15,0,10.36,6.37,,71
189,600,6,0,7.08,5.32,,70
