,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM POLAR,BPM RAYAN
165,460,2,0,5.9,5.58,,71
166,470,3,0,3.69,3.76,,71
167,480,1,0,3.66,4.56,,71
168,490,15,0,3.07,4.49,,71
169,500,2,0,2.95,3.54,,71
170,510,6,0,3.83,5.9,,77
171,520,10,0,2.96,5.06,,77
172,530,5,0,3.59,5.3,,77
173,540,5,0,4.99,6.15,,77
174,550,4,0,4.07,4.2,,73
175,560,7,0,5.53,6.34,,70
176,570,4,0,3.54,4.11,,67
177,580,3,0,3.79,4.23,,71
178,590,3,0,2.81,4.16,,68
