,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,1,0,8.95,5.44,68
1,20,4,0,8.31,5.72,68
2,30,0,0,9.25,5.43,68
3,40,1,0,9.06,3.67,68
4,50,0,0,7.27,3.77,68
5,60,10,0,9.62,8.9,68
6,70,0,0,7.15,4.42,68
7,80,7,0,8.7,5.33,68
8,90,1,0,10.65,4.62,68
9,100,2,0,9.64,3.51,68
10,110,3,0,9.94,4.32,71
11,120,2,0,9.27,6.49,71
12,130,1,0,9.97,4.51,71
13,140,7,0,6.15,5.04,71
14,150,2,0,7.93,5.67,71
15,160,1,0,7.95,6.8,74
16,170,1,0,7.06,7.0,74
17,180,3,0,5.96,5.82,74
18,190,3,0,5.79,4.14,74
19,200,3,0,8.23,5.24,74
20,210,3,0,5.64,9.62,71
21,220,5,0,5.08,5.45,71
22,230,3,0,4.0,4.45,71
23,240,1,0,3.7,4.71,71
24,250,9,0,5.5,4.47,71
25,260,2,0,9.46,8.26,74
26,270,0,0,6.42,4.75,74
27,280,0,0,5.11,4.68,74
28,290,8,0,7.05,6.26,74
29,300,2,0,6.62,6.73,74
30,310,4,0,9.26,4.53,71
31,320,2,0,11.01,5.85,71
32,330,3,0,6.96,6.47,71
33,340,2,0,4.16,8.27,71
34,350,6,0,4.11,5.57,71
35,360,9,0,8.0,7.24,72
36,370,1,0,4.85,8.21,72
37,380,1,0,4.83,5.28,72
38,390,2,0,4.87,6.94,72
39,400,1,0,5.72,6.0,72
40,410,2,0,4.69,7.06,71
41,420,5,0,5.07,9.02,71
42,430,9,0,4.65,8.33,71
43,440,3,0,7.93,3.64,71
44,450,8,0,8.19,8.39,71
45,460,0,0,4.17,8.8,64
46,470,3,0,3.99,5.32,64
47,480,0,0,3.78,5.73,64
48,490,6,0,3.72,5.09,64
49,500,7,0,8.01,4.17,64
50,510,2,0,4.86,4.83,70
51,520,0,0,6.39,6.32,70
52,530,5,0,7.29,7.23,70
53,540,2,0,5.76,6.75,70
54,550,3,0,4.98,6.8,70
55,560,3,0,5.08,7.92,70
56,570,10,0,9.21,8.6,70
57,580,5,0,10.76,5.98,70
58,590,13,0,8.15,9.11,70
59,10,3,0,6.58,6.15,70
60,20,1,0,4.46,7.74,68
61,30,0,0,4.89,7.25,68
62,40,1,0,5.8,6.44,68
63,50,0,0,4.75,4.55,68
64,60,1,0,4.15,8.7,68
65,70,2,0,4.07,8.04,70
66,80,2,0,4.16,6.42,70
67,90,1,0,3.79,3.56,70
68,100,4,0,4.71,3.68,70
69,110,3,0,4.29,6.43,70
70,120,7,0,4.43,5.17,71
71,130,3,0,3.7,4.36,71
72,140,1,0,4.66,6.06,71
73,150,1,0,7.13,8.86,71
74,160,1,0,6.1,7.77,71
75,170,0,0,5.66,8.91,69
76,180,1,0,6.53,5.39,69
77,190,4,0,5.96,5.52,69
78,200,2,0,4.75,7.25,69
79,210,4,0,10.13,9.57,69
80,220,0,0,5.06,6.4,71
81,230,3,0,4.02,4.87,71
82,240,1,0,5.28,7.89,71
83,250,4,0,3.96,5.73,71
84,260,4,0,4.26,7.06,71
85,270,1,0,3.9,5.91,75
