,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,4,0,3.61,2.13,79
1,20,7,0,4.51,2.29,79
2,30,3,0,3.45,1.74,79
3,40,4,0,3.54,1.84,79
4,50,2,0,4.09,2.24,79
5,60,5,0,2.61,1.56,81
6,70,3,0,2.71,1.55,81
7,80,3,0,3.2,1.63,81
8,90,4,0,4.53,2.26,81
9,100,3,0,6.47,6.52,81
10,110,4,0,8.29,7.35,80
11,120,6,0,4.98,3.01,80
12,130,5,0,3.69,2.19,80
13,140,3,0,3.0,1.79,80
14,150,2,0,3.71,2.08,80
15,160,7,0,4.11,2.2,78
16,170,0,0,3.61,1.82,78
17,180,4,0,3.35,2.09,78
18,190,6,0,3.02,1.79,78
19,200,5,0,4.1,2.38,78
20,210,1,0,4.23,2.6,79
21,220,3,0,3.09,1.79,79
22,230,1,0,3.37,1.85,79
23,240,4,0,3.02,1.79,79
24,250,4,0,6.5,6.35,79
25,260,2,0,6.9,7.1,79
26,270,5,0,6.75,3.97,79
27,280,1,0,4.56,1.98,79
28,290,2,0,6.27,3.17,79
29,300,3,0,3.15,2.1,79
30,310,3,0,3.94,2.25,80
31,320,4,0,6.9,2.63,80
32,330,2,0,4.29,2.14,80
33,340,3,0,3.49,1.85,80
34,350,1,0,3.42,2.25,80
35,360,1,0,3.77,2.08,80
36,370,7,0,6.92,3.3,80
37,380,3,0,5.67,2.65,80
38,390,2,0,4.88,2.06,80
39,400,3,0,7.92,6.27,80
40,410,4,0,5.53,6.39,78
41,420,1,0,6.54,7.24,78
42,430,4,0,7.36,9.27,78
43,440,4,0,10.47,8.71,78
44,450,3,0,5.54,2.43,78
45,460,5,0,6.32,3.26,81
46,470,1,0,5.95,3.16,81
47,480,7,0,5.92,3.02,81
48,490,3,0,9.04,7.59,81
49,500,2,0,9.56,9.2,81
50,510,3,0,7.05,5.09,78
51,520,3,0,5.07,3.0,78
52,530,6,0,5.36,3.74,78
53,540,5,0,4.21,2.28,78
54,550,2,0,4.26,2.47,78
55,560,6,0,6.17,3.12,81
56,570,4,0,5.41,2.65,81
57,580,5,0,5.9,2.35,81
58,590,6,0,4.07,2.39,81
59,600,6,0,3.4,2.19,81
60,10,21,0,6.26,4.57,77
61,20,9,0,3.91,2.37,77
62,30,3,0,4.6,2.9,77
63,40,39,0,5.11,2.78,77
64,50,6,0,6.96,7.02,77
65,60,10,0,5.05,2.42,80
66,70,12,0,4.13,2.19,80
67,80,23,0,4.49,3.33,80
68,90,3,0,4.69,2.9,80
69,100,3,0,4.8,2.48,80
70,110,2,0,6.35,3.18,80
71,120,24,0,6.5,6.69,80
72,130,5,0,6.09,2.72,80
73,140,4,0,4.67,4.29,80
74,150,10,0,3.86,1.95,80
75,160,11,0,4.88,2.34,80
76,170,6,0,5.35,2.29,80
77,180,3,0,3.85,1.99,80
78,190,5,0,3.75,2.0,80
79,200,11,0,4.79,2.43,80
80,210,11,0,3.71,2.09,82
81,220,5,0,3.28,2.47,82
82,230,4,0,4.96,2.28,82
83,240,7,0,3.16,2.06,82
84,250,4,0,6.23,6.71,82
85,260,6,0,6.01,5.57,82
86,270,1,0,3.92,2.17,82
87,280,1,0,3.07,1.96,82
88,290,4,0,6.46,4.68,82
89,300,3,0,4.21,2.18,82
90,310,13,0,4.72,2.49,80
91,320,11,0,4.68,2.5,80
92,330,20,0,4.3,3.22,80
93,340,11,0,5.17,3.17,80
94,350,18,0,4.68,2.56,80
95,360,3,0,4.51,1.83,81
96,370,5,0,4.82,2.67,81
97,380,3,0,3.78,2.35,81
98,390,2,0,4.49,2.58,81
99,400,5,0,4.91,2.84,81
100,410,4,0,3.49,2.4,82
101,420,2,0,4.05,2.15,82
102,430,2,0,3.64,2.57,82
103,440,3,0,5.61,3.08,82
104,450,12,0,5.21,7.71,82
105,460,12,0,8.67,5.16,80
106,470,20,0,3.66,1.94,80
107,480,23,0,3.76,2.21,80
108,490,10,0,3.31,1.95,80
109,500,12,0,3.71,2.64,80
110,510,4,0,4.12,2.16,79
111,520,6,0,4.09,2.24,79
112,530,11,0,3.77,1.85,79
113,540,11,0,5.55,2.99,79
114,550,5,0,4.74,2.37,79
115,560,5,0,3.42,2.22,80
116,570,13,0,4.25,2.19,80
117,580,5,0,3.58,2.04,80
118,590,2,0,2.95,1.8,80
119,10,10,0,6.37,8.46,80
120,20,2,0,8.59,8.5,81
121,30,3,0,7.56,3.21,81
122,40,10,0,4.8,6.32,81
123,50,1,0,5.93,7.57,81
124,60,8,0,4.74,7.12,81
125,70,3,0,4.47,6.84,81
126,80,2,0,5.05,6.98,81
127,90,2,0,4.56,6.53,81
128,100,2,0,4.25,7.09,81
129,110,0,0,4.74,2.48,81
130,120,22,0,5.64,4.74,79
131,130,0,0,4.83,5.61,79
132,140,9,0,6.74,8.45,79
133,150,3,0,6.63,9.04,79
134,160,19,0,7.67,8.13,79
135,170,8,0,5.45,6.28,80
136,180,5,0,5.56,5.82,80
137,190,2,0,5.62,4.85,80
138,200,7,0,5.14,7.55,80
139,210,3,0,5.54,7.04,80
140,220,1,0,5.77,4.04,81
141,230,7,0,5.87,7.46,81
142,240,4,0,4.5,2.8,81
143,250,8,0,6.31,2.82,81
144,260,5,0,5.93,2.64,81
145,270,3,0,4.77,4.56,80
146,280,9,0,6.09,5.14,80
147,290,16,0,6.92,5.42,80
148,300,26,0,6.96,9.08,80
149,310,14,0,7.86,6.14,80
150,320,13,0,8.91,7.84,81
151,330,8,0,6.3,9.71,81
152,340,14,0,5.03,6.56,81
153,350,6,0,6.23,8.04,81
154,360,3,0,7.07,7.98,81
155,370,3,0,8.15,8.48,79
156,380,6,0,6.93,5.1,79
157,390,7,0,7.07,4.73,79
158,400,1,0,7.97,3.94,79
159,410,4,0,4.35,6.14,79
160,420,2,0,3.99,5.77,79
161,430,5,0,6.22,5.11,79
162,440,1,0,4.54,5.65,79
163,450,4,0,4.57,3.58,79
164,460,1,0,4.7,4.49,79
165,470,4,0,6.45,8.64,79
166,480,5,0,5.84,7.15,79
167,490,6,0,6.06,5.9,79
168,500,6,0,7.31,6.06,79
169,510,6,0,3.67,3.12,79
170,520,3,0,6.05,5.2,80
171,530,3,0,4.26,8.66,80
172,540,4,0,5.02,8.63,80
173,550,5,0,7.64,3.75,80
174,560,7,0,8.95,2.44,80
175,570,4,0,6.77,4.48,81
176,580,3,0,5.88,5.31,81
177,590,5,0,6.63,9.12,81
