,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,5,0,9.6,11.27,79
1,20,6,0,8.13,8.09,79
2,30,7,0,9.5,6.95,79
3,40,3,0,8.98,5.3,79
4,50,4,0,7.59,5.42,79
5,60,0,0,6.66,2.01,79
6,70,5,0,9.14,6.5,79
7,80,4,0,7.69,5.46,79
8,90,7,0,10.01,5.75,79
9,100,2,0,4.97,2.99,79
10,110,3,0,10.25,4.85,79
11,120,10,0,10.57,6.22,79
12,130,6,0,7.09,6.78,79
13,140,6,0,9.75,8.08,79
14,150,7,1,8.58,11.74,79
15,160,15,0,9.49,4.09,79
16,170,8,0,7.5,5.72,79
17,180,8,0,9.74,4.85,79
18,190,6,0,12.34,6.64,79
19,200,6,0,11.22,5.03,79
20,210,7,0,12.68,7.06,79
21,220,21,0,5.71,6.7,79
22,230,14,0,8.63,6.94,79
23,240,2,0,3.97,3.71,79
24,250,1,0,4.62,3.25,79
25,260,2,0,3.63,3.82,79
26,270,4,0,12.45,5.07,79
27,280,9,0,6.48,5.01,79
28,290,8,1,9.42,7.52,79
29,300,8,0,8.98,7.72,79
30,310,6,0,10.81,7.27,79
31,320,10,0,12.53,9.66,79
32,330,13,0,9.86,7.84,79
33,340,3,0,6.78,4.7,79
34,350,5,0,13.49,5.96,79
35,360,16,0,11.93,9.54,79
36,370,8,0,6.1,6.41,79
37,380,5,0,7.59,5.98,79
38,390,9,0,8.42,8.43,79
39,400,2,0,6.7,5.01,79
40,410,1,0,4.84,2.82,78
41,420,10,0,3.15,2.25,78
42,430,10,0,7.35,5.23,78
43,440,2,0,12.82,7.74,78
44,450,1,0,3.61,1.79,78
45,460,3,0,5.62,7.31,79
46,470,1,0,3.62,2.37,79
47,480,4,0,3.6,4.71,79
48,490,3,0,10.93,3.32,79
49,500,8,0,5.74,5.13,79
50,510,7,0,6.39,3.17,79
51,520,11,0,8.41,6.21,79
52,530,6,0,9.86,6.97,79
53,540,10,0,5.65,4.77,79
54,550,10,0,4.78,4.24,79
55,560,12,0,10.15,7.34,80
56,570,2,0,10.18,4.91,80
57,580,7,0,4.16,3.73,80
58,590,3,0,7.6,4.82,80
59,600,13,0,8.23,7.47,80
60,610,7,0,8.49,6.17,80
61,620,15,0,10.88,7.0,80
62,630,2,0,5.7,4.58,80
63,640,11,0,8.2,7.48,80
64,650,25,0,5.71,6.19,80
65,10,5,0,7.19,5.9,79
66,20,5,0,11.69,7.51,79
67,30,1,0,4.11,3.52,79
68,40,2,0,6.32,6.44,79
69,50,2,0,8.46,5.57,79
70,60,5,0,9.42,8.85,79
71,70,4,0,6.21,6.93,79
72,80,2,0,10.77,5.87,79
73,90,1,0,3.32,4.53,79
74,100,2,0,9.68,9.46,79
75,110,4,0,8.97,6.62,80
76,120,2,0,4.49,3.19,80
77,130,8,1,6.41,8.29,80
78,140,3,0,8.37,5.54,80
79,150,2,0,5.06,2.12,80
80,160,0,0,3.78,2.04,79
81,170,5,0,5.25,8.45,79
82,180,6,0,5.4,6.67,79
83,190,1,0,8.11,8.28,79
