,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,7,0,6.99,5.16,80
1,20,23,0,9.89,4.12,80
2,30,11,0,5.48,6.95,80
3,40,6,0,9.42,5.4,80
4,50,4,0,4.59,2.58,80
5,60,15,0,6.54,2.67,80
6,70,8,0,7.44,3.44,80
7,80,5,0,5.06,2.97,80
8,90,1,0,2.9,1.87,80
9,100,3,0,3.93,2.65,80
10,110,2,0,4.03,2.26,80
11,120,3,0,5.34,3.69,80
12,130,8,0,3.11,3.31,80
13,140,5,0,4.93,4.49,80
14,150,4,0,3.45,4.5,80
15,160,6,0,5.78,4.32,80
16,170,4,0,4.0,2.89,80
17,180,3,0,7.48,6.7,80
18,190,15,0,9.24,3.86,80
19,200,11,0,6.28,5.49,80
20,210,4,0,7.97,4.39,81
21,220,3,0,5.32,2.87,81
22,230,2,0,5.14,2.46,81
23,240,2,0,4.16,2.31,81
24,250,3,0,5.71,2.51,81
25,260,2,0,4.21,2.64,79
26,270,0,0,4.08,1.48,79
27,280,4,0,4.76,2.77,79
28,290,5,0,4.1,3.03,79
29,300,3,0,5.0,2.77,79
30,310,1,0,4.21,2.71,81
31,320,5,0,10.64,4.19,81
32,330,8,0,8.89,5.4,81
33,340,24,0,5.91,7.56,81
34,350,9,0,3.86,4.68,81
35,360,3,0,4.16,2.92,81
36,370,3,0,4.46,5.36,81
37,380,5,0,6.53,4.53,81
38,390,2,0,6.08,3.17,81
39,400,9,0,7.05,3.82,81
40,410,3,0,5.81,4.19,81
41,420,0,0,4.87,2.33,81
42,430,3,0,5.88,3.14,81
43,440,7,0,6.42,6.73,81
44,450,3,0,7.52,4.43,81
45,460,9,0,7.45,6.14,80
46,470,8,0,7.37,4.97,80
47,480,3,0,4.54,3.8,80
48,490,0,0,4.36,2.31,80
49,500,5,0,6.24,3.69,80
50,510,5,0,5.09,4.26,79
51,520,6,0,6.09,4.41,79
52,530,2,0,3.6,2.46,79
53,540,6,0,5.62,3.44,79
54,550,2,0,4.88,2.8,79
55,560,5,0,7.84,4.84,80
56,570,3,0,6.82,3.13,80
57,580,2,0,9.27,2.96,80
58,590,4,1,8.31,6.66,80
59,600,4,0,6.38,3.84,80
60,610,5,0,4.61,4.61,79
61,620,6,0,4.52,3.53,79
62,630,3,0,3.31,3.13,79
63,640,3,0,4.36,3.65,79
64,650,3,0,5.6,4.99,79
65,660,1,0,5.97,2.36,79
66,670,4,0,4.38,6.17,79
67,680,8,0,6.33,5.77,79
68,10,1,0,5.13,4.06,79
69,20,2,0,6.67,2.48,79
70,30,14,0,10.04,5.7,81
71,40,4,0,4.41,3.06,81
72,50,5,0,7.07,4.72,81
73,60,3,0,5.29,6.02,81
74,70,3,0,5.18,2.27,81
75,80,5,0,4.26,13.37,80
76,90,5,0,5.05,12.84,80
77,100,2,0,4.66,3.03,80
78,110,6,0,6.83,4.16,80
79,120,8,0,7.15,4.25,80
80,130,3,0,5.13,2.58,79
81,140,3,0,4.64,4.75,79
82,150,8,0,9.66,4.94,79
83,160,24,0,10.76,4.87,79
84,170,33,0,7.01,8.57,79
85,180,23,0,5.4,4.93,82
86,190,9,0,5.51,3.22,82
87,200,3,0,4.47,2.84,82
88,210,5,0,7.61,4.01,82
89,220,3,0,3.86,3.6,82
90,230,3,0,6.16,4.41,81
91,240,7,0,5.65,4.6,81
92,250,12,0,3.48,2.43,81
93,260,12,0,5.9,3.59,81
94,270,9,0,8.53,3.12,81
95,280,20,0,7.61,2.9,80
96,290,25,0,7.23,6.41,80
97,300,19,0,7.99,5.66,80
98,310,7,0,7.95,4.78,80
99,320,1,0,5.65,4.67,80
100,330,9,0,6.52,5.09,81
101,340,5,0,6.55,4.17,81
102,350,1,0,5.43,3.76,81
103,360,3,0,5.11,3.81,81
104,370,12,0,7.57,3.59,81
105,380,4,0,6.83,5.25,80
106,390,9,0,7.67,7.31,80
107,400,10,0,5.56,4.19,80
108,410,21,0,11.02,3.53,80
109,420,30,0,9.7,3.31,80
110,430,21,0,6.23,3.19,79
111,440,36,0,5.18,3.04,79
112,450,25,0,6.75,2.16,79
113,460,14,0,5.09,1.94,79
114,470,5,0,5.08,4.56,79
115,480,27,0,3.81,3.96,81
116,490,15,0,5.2,5.56,81
117,500,13,0,4.58,3.93,81
118,510,15,0,4.35,3.12,81
119,520,8,0,4.26,1.97,81
120,530,21,0,11.59,3.78,80
121,540,23,0,7.7,6.13,80
122,550,14,0,7.18,3.43,80
123,560,11,0,3.88,2.5,80
124,570,4,0,5.78,4.43,80
125,580,9,0,6.41,4.84,81
126,590,3,0,6.17,4.65,81
127,600,3,0,5.11,2.98,81
128,10,5,0,8.97,4.35,81
129,20,6,0,7.1,4.11,81
130,30,16,0,10.79,3.64,79
131,40,10,0,8.84,5.24,79
132,50,1,0,4.87,3.42,79
133,60,13,0,5.31,4.77,79
134,70,18,0,5.89,4.01,79
135,80,11,0,7.76,4.24,80
136,90,2,0,4.67,2.99,80
137,100,6,0,4.6,4.33,80
138,110,3,0,5.23,5.43,80
139,120,11,0,5.36,5.85,80
140,130,19,0,9.9,1.96,81
141,140,14,0,4.9,3.73,81
142,150,3,0,5.8,3.69,81
143,160,1,0,4.46,1.77,81
144,170,20,0,10.17,6.39,81
145,180,18,0,12.23,4.97,80
146,190,8,0,5.56,3.16,80
147,200,2,0,4.76,3.05,80
148,210,2,0,5.25,3.65,80
149,220,2,0,5.4,4.66,80
150,230,5,0,7.17,5.06,80
151,240,4,0,7.06,5.01,80
152,250,11,0,6.34,4.51,80
153,260,2,0,5.77,5.19,80
154,270,4,0,5.97,5.45,80
155,280,17,0,10.81,4.74,79
156,290,19,0,12.47,4.18,79
157,300,11,0,8.4,5.34,79
158,310,5,0,5.81,3.23,79
159,320,8,0,7.75,4.1,79
160,330,5,0,5.79,2.7,80
161,340,8,0,7.92,5.93,80
162,350,10,0,7.01,5.07,80
163,360,6,0,4.68,3.89,80
164,370,2,0,6.52,5.02,80
165,380,0,0,3.31,1.43,80
166,390,4,0,5.2,4.96,80
167,400,5,0,6.96,4.44,80
168,410,18,0,10.0,5.66,80
169,420,16,0,8.5,8.68,80
170,430,1,0,6.85,2.78,81
171,440,5,0,7.09,4.12,81
172,450,6,0,6.32,3.64,81
173,460,5,0,6.48,4.26,81
174,470,3,0,5.03,2.48,81
175,480,2,0,6.15,3.87,80
176,490,6,0,6.35,6.74,80
177,500,8,0,6.91,4.88,80
178,510,4,0,5.14,7.62,80
179,520,9,0,10.83,4.12,80
180,530,9,0,12.0,7.04,77
181,540,11,0,6.79,4.34,76
182,550,3,0,5.28,6.59,76
183,560,1,0,4.34,2.26,81
184,570,4,0,6.93,6.16,75
185,580,3,0,5.85,3.94,84
186,590,5,0,7.93,5.64,76
187,600,8,0,7.15,3.9,82
188,610,3,0,5.6,4.59,77
189,620,9,0,11.41,5.77,79
190,630,10,0,11.22,2.45,82
