,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM POLAR,BPM RAYAN
0,10,1,0,3.49,1.95,,73
1,20,3,0,2.62,1.94,,73
2,30,2,0,3.18,2.27,,73
3,40,1,0,3.59,2.64,,73
4,50,1,0,2.34,1.48,,73
5,60,3,0,3.2,1.9,,71
6,70,0,0,3.54,2.03,,71
7,80,1,0,2.47,1.62,,71
8,90,2,0,2.15,1.98,,71
9,100,0,0,4.64,2.08,,71
10,110,0,0,2.89,2.18,,74
11,120,0,0,2.59,2.09,,74
12,130,0,0,4.49,2.33,,74
13,140,1,0,2.79,1.89,,74
14,150,2,0,2.9,1.8,,74
15,160,2,0,2.66,1.77,,74
16,170,1,0,3.06,1.91,,74
17,180,0,0,2.56,1.58,,74
18,190,0,0,2.77,1.93,,74
19,200,0,0,2.42,1.9,,74
20,210,0,0,2.93,1.95,,73
21,220,2,0,2.71,1.84,,73
22,230,1,0,4.55,2.36,,73
23,240,0,0,2.83,1.81,,73
24,250,1,0,2.82,1.67,,73
25,260,0,0,2.82,1.57,,75
26,270,1,0,3.17,1.68,,75
27,280,3,0,3.54,1.69,,75
28,290,0,0,2.74,1.68,,75
29,300,3,0,2.81,1.9,,75
30,310,0,0,2.25,1.55,,75
31,320,0,0,2.99,1.83,,75
32,330,3,0,3.28,1.8,,75
33,340,1,0,2.96,1.4,,75
34,350,2,0,2.63,1.63,,75
35,360,1,0,2.82,1.86,,72
36,370,0,0,2.89,1.68,,72
37,380,2,0,3.15,1.75,,72
38,390,0,0,2.78,1.58,,72
39,400,1,0,2.77,1.79,,72
40,410,0,0,2.53,1.49,,72
41,420,0,0,2.43,1.55,,72
42,430,1,0,2.51,1.52,,72
43,440,0,0,2.51,1.36,,72
44,450,0,0,2.83,1.72,,72
45,460,1,0,3.56,2.13,,73
46,470,0,0,2.51,1.74,,73
47,480,0,0,2.96,1.43,,73
48,490,1,0,2.63,1.46,,73
49,500,2,0,2.93,1.69,,73
50,510,0,0,3.66,2.17,,73
51,520,0,0,4.09,2.39,,73
52,530,0,0,3.47,1.96,,73
53,540,3,0,3.04,1.62,,73
54,550,1,0,2.42,2.44,,73
55,560,1,0,2.55,1.37,,76
56,570,4,0,3.23,2.34,,76
57,580,3,0,2.76,1.5,,76
58,590,0,0,2.67,1.4,,76
59,10,2,0,2.99,1.24,,76
60,20,0,0,2.86,1.44,,75
61,30,0,0,3.18,1.69,,75
62,40,0,0,2.46,1.34,,75
63,50,1,0,2.78,2.1,,75
64,60,2,0,2.94,1.73,,75
65,70,0,0,3.02,1.56,,75
66,80,0,0,2.61,1.64,,75
67,90,0,0,2.92,1.62,,75
68,100,1,0,3.11,1.51,,75
69,110,2,0,2.84,1.46,,75
70,120,1,0,2.88,2.29,,75
71,130,0,0,2.82,2.07,,75
72,140,4,0,2.83,1.4,,75
73,150,2,0,2.68,1.46,,75
74,160,0,0,2.64,1.45,,75
75,170,0,0,2.84,2.0,,75
76,180,2,0,2.78,2.3,,75
77,190,2,0,2.63,1.54,,75
78,200,16,0,2.54,1.37,,75
79,210,0,0,2.63,1.76,,75
80,220,1,0,2.69,1.34,,72
81,230,2,0,2.47,1.36,,72
82,240,2,0,2.81,1.73,,72
83,250,2,0,3.0,1.54,,72
84,260,0,0,3.01,1.55,,72
85,270,1,0,2.72,1.7,,74
86,280,1,0,5.01,2.58,,74
87,290,0,0,4.88,2.32,,74
88,300,3,0,3.96,1.73,,74
89,310,0,0,3.61,1.37,,74
90,320,0,0,3.0,1.35,,75
91,330,2,0,3.34,1.74,,75
92,340,0,0,2.54,1.49,,75
93,350,0,0,3.0,1.18,,75
94,360,2,0,2.85,1.83,,75
95,370,2,0,3.85,1.47,,72
96,380,2,0,4.04,1.5,,72
97,390,2,0,2.61,1.65,,72
98,400,0,0,2.77,1.69,,72
99,410,0,0,2.43,1.68,,72
100,420,2,0,2.58,1.27,,74
101,430,0,0,2.33,1.19,,74
102,440,1,0,2.59,1.52,,74
103,450,4,0,2.86,1.88,,74
104,460,1,0,3.08,1.56,,74
105,470,4,0,2.15,1.48,,72
106,480,3,0,2.15,1.24,,72
107,490,1,0,2.2,1.37,,72
108,500,3,0,2.68,1.57,,72
109,510,7,0,2.95,1.58,,72
110,520,0,0,2.45,1.19,,73
111,530,0,0,3.31,1.43,,73
112,540,0,0,2.18,1.44,,73
113,550,0,0,2.7,1.42,,73
114,560,0,0,2.92,1.46,,73
115,570,1,0,2.88,2.06,,72
116,580,1,0,2.29,1.22,,72
117,590,0,0,2.75,1.48,,71
118,600,0,0,2.47,1.3,,68
119,610,0,0,2.37,1.24,,77
