,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,1,0,5.2,3.38,64
1,20,2,0,7.37,5.37,64
2,30,0,0,5.18,2.34,64
3,40,4,0,7.37,5.57,64
4,50,3,0,6.37,6.57,64
5,60,0,0,5.14,5.65,60
6,70,1,0,4.54,2.2,60
7,80,1,0,4.11,4.84,60
8,90,1,0,7.15,3.88,60
9,100,0,0,5.31,3.45,60
10,110,6,0,4.95,2.6,64
11,120,0,1,4.9,1.99,64
12,130,1,0,4.79,2.26,64
13,140,1,0,4.55,2.02,64
14,150,0,0,6.31,2.68,64
15,160,0,0,5.97,2.43,66
16,170,2,0,5.54,2.47,66
17,180,3,0,8.07,4.67,66
18,190,0,0,5.87,2.42,66
19,200,3,0,6.55,2.94,66
20,210,5,0,6.97,3.1,59
21,220,4,0,5.67,1.95,59
22,230,1,0,4.28,1.63,59
23,240,2,0,4.39,2.45,59
24,250,0,0,5.33,2.33,59
25,260,2,0,5.75,2.14,63
26,270,1,0,6.35,2.15,63
27,280,1,0,5.31,2.37,63
28,290,1,0,6.35,2.84,63
29,300,1,0,5.25,6.36,63
30,310,3,0,5.08,2.16,64
31,320,1,0,4.77,2.32,64
32,330,5,0,4.26,2.65,64
33,340,2,0,4.22,2.33,64
34,350,1,0,4.29,1.63,64
35,360,3,0,5.25,3.18,62
36,370,4,0,5.68,5.69,62
37,380,6,0,5.81,4.43,62
38,390,6,0,5.38,4.45,62
39,400,11,1,5.85,5.87,62
40,410,3,0,6.45,6.13,64
41,420,2,0,4.78,1.92,64
42,430,1,0,6.3,2.22,64
43,440,2,0,5.99,3.19,64
44,450,10,1,5.03,3.68,64
45,460,1,0,6.78,3.21,63
46,470,0,0,6.41,2.13,63
47,480,2,0,6.79,2.59,63
48,490,2,0,7.61,2.44,63
49,500,6,0,5.93,1.99,63
50,510,2,0,6.43,2.33,64
51,520,4,0,5.73,2.72,64
52,530,1,0,6.1,5.01,64
53,540,2,0,6.84,1.95,64
54,550,2,0,5.86,2.7,64
55,560,3,0,5.96,2.47,61
56,570,2,0,6.93,2.29,61
57,580,3,0,4.92,2.05,61
58,590,3,0,7.38,2.44,61
59,10,5,0,4.61,2.1,61
60,20,3,0,4.34,2.07,60
61,30,5,0,5.79,2.9,60
62,40,7,0,4.93,2.06,60
63,50,3,0,4.91,1.83,60
64,60,2,0,5.42,2.06,60
65,70,7,0,6.69,3.05,63
66,80,6,0,5.49,3.17,63
67,90,9,0,5.01,2.08,63
68,100,5,0,3.76,1.89,63
69,110,4,0,3.84,1.76,63
70,120,0,0,3.89,2.0,64
71,130,1,0,4.47,2.5,64
72,140,11,0,5.19,3.91,64
73,150,11,1,4.79,2.7,64
74,160,3,0,5.6,2.17,64
75,170,2,0,4.87,1.97,63
76,180,1,0,5.63,2.54,63
77,190,5,0,4.62,3.88,63
78,200,5,0,4.86,2.57,63
79,210,0,0,4.74,2.3,63
80,220,1,0,4.35,2.12,64
81,230,0,0,5.3,1.87,64
82,240,1,0,5.75,1.99,64
83,250,1,0,6.0,2.77,64
84,260,0,0,5.41,2.37,64
85,270,1,0,6.71,2.74,64
86,280,2,0,6.22,2.19,64
87,290,1,0,5.92,2.06,64
88,300,0,0,6.34,2.34,64
89,310,0,0,6.74,2.08,64
90,320,1,0,6.32,2.68,63
91,330,2,0,9.21,7.74,63
92,340,1,0,5.33,3.51,63
93,350,0,0,6.09,4.51,63
94,360,0,0,5.39,3.43,63
95,370,2,0,6.87,2.19,63
96,380,2,0,5.43,2.4,63
97,390,9,0,5.26,3.91,63
98,400,14,0,5.33,2.53,63
99,410,2,0,5.96,2.94,63
100,420,3,0,6.09,2.35,59
101,430,1,0,5.29,2.34,59
102,440,0,0,5.34,2.55,59
103,450,2,0,4.88,2.25,59
104,460,2,0,4.74,3.33,59
105,470,0,0,6.1,2.17,60
106,480,1,0,6.29,2.01,60
107,490,1,0,5.22,2.25,60
108,500,1,0,5.2,2.43,60
109,510,2,0,5.23,2.09,60
