,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,4,0,7.27,6.5,66
1,20,3,0,9.27,5.16,66
2,30,5,0,8.15,6.52,66
3,40,3,0,7.33,5.41,66
4,50,3,0,7.9,7.37,66
5,60,1,0,7.59,5.47,66
6,70,2,0,3.11,4.53,66
7,80,3,0,3.94,6.41,66
8,90,4,0,8.76,7.2,66
9,100,1,0,4.75,6.15,66
10,110,2,0,9.64,4.67,65
11,120,5,0,9.2,8.22,65
12,130,3,0,6.57,6.74,65
13,140,3,0,4.16,7.45,65
14,150,3,0,6.58,5.11,65
15,160,2,0,4.49,5.33,64
16,170,6,0,4.32,4.87,64
17,180,7,0,7.59,5.57,64
18,190,5,0,6.92,6.81,64
19,200,4,0,3.55,4.4,64
20,210,3,0,5.76,4.52,66
21,220,4,0,5.87,7.21,66
22,230,5,0,4.33,5.72,66
23,240,3,0,3.43,2.81,66
24,250,4,0,3.93,4.96,66
25,260,4,0,7.25,4.53,65
26,270,5,0,6.49,5.16,65
27,280,4,0,10.98,5.63,65
28,290,5,0,9.82,5.5,65
29,300,3,0,8.75,7.4,65
30,310,4,0,7.16,6.85,66
31,320,8,0,10.4,6.45,66
32,330,4,0,4.45,7.13,66
33,340,6,0,7.94,6.14,66
34,350,7,0,10.81,6.84,66
35,360,5,0,10.3,4.87,66
36,370,4,0,7.3,5.74,66
37,380,5,0,6.66,4.91,66
38,390,6,0,10.13,5.06,66
39,400,7,0,11.67,5.28,66
40,410,4,0,10.82,5.49,65
41,420,6,0,9.11,7.64,65
42,430,7,0,8.07,6.73,65
43,440,9,0,10.94,6.08,65
44,450,9,0,9.0,7.15,65
45,460,7,0,11.09,7.28,66
46,470,8,0,10.89,5.46,66
47,480,7,0,6.02,5.66,66
48,490,6,0,8.85,6.24,66
49,500,6,0,9.18,5.68,66
50,510,5,0,7.05,5.54,66
51,520,9,0,7.68,5.92,66
52,530,5,0,8.03,8.75,66
53,540,5,0,9.97,8.19,66
54,550,5,0,9.96,6.14,66
55,560,5,0,10.73,6.07,68
56,570,4,0,6.41,5.6,68
57,580,5,0,8.34,6.23,68
58,590,5,0,10.47,6.49,68
59,10,4,0,8.35,5.16,68
60,20,5,0,8.48,5.34,64
61,30,6,0,8.75,6.7,64
62,40,2,0,7.96,5.89,64
63,50,7,0,8.3,6.88,64
64,60,7,0,12.35,7.75,64
65,70,5,0,8.76,7.42,67
66,80,6,0,9.75,5.06,67
67,90,4,0,8.83,4.45,67
68,100,6,0,6.92,6.77,67
69,110,6,0,7.52,6.84,67
70,120,11,0,9.95,7.69,66
71,130,8,0,9.01,6.6,66
72,140,6,0,6.05,6.32,66
73,150,8,0,10.44,6.83,66
74,160,6,0,9.85,5.95,66
75,170,5,0,10.11,6.15,68
76,180,7,0,9.25,7.01,68
77,190,7,0,9.03,7.05,68
78,200,7,0,15.05,8.97,68
79,210,10,0,11.44,7.41,68
80,220,5,0,10.21,6.64,66
81,230,6,0,11.59,6.65,66
82,240,3,0,9.26,6.16,66
83,250,9,0,12.09,8.94,66
84,260,10,0,11.85,8.76,66
85,270,8,0,10.36,8.34,66
86,280,8,2,10.09,7.05,66
87,290,7,0,8.37,7.52,66
88,300,7,0,10.29,7.51,66
89,310,5,0,8.56,6.95,66
90,320,4,0,7.98,8.41,66
91,330,6,0,9.48,13.35,66
92,340,5,0,9.64,13.17,66
93,350,3,0,9.24,7.73,66
94,360,9,0,11.57,7.44,66
95,370,3,0,10.09,6.61,67
96,380,4,0,9.31,4.13,67
97,390,4,0,6.02,6.65,67
98,400,5,0,4.83,6.68,67
99,410,8,0,11.25,7.63,67
100,420,4,0,7.99,7.17,65
101,430,5,0,5.57,7.97,65
102,440,5,0,8.38,7.59,65
103,450,5,0,6.52,6.6,65
104,460,5,0,9.09,7.11,65
105,470,5,0,9.14,5.81,68
106,480,5,0,8.64,7.68,68
107,490,9,0,8.82,6.78,68
108,500,5,0,8.61,6.83,68
109,510,5,0,6.71,6.42,68
110,520,7,0,4.32,7.19,67
111,530,3,0,4.13,7.61,67
112,540,8,0,5.98,7.23,67
113,550,2,0,4.61,6.19,67
114,560,6,0,7.52,4.97,66
115,570,5,0,5.44,5.86,65
116,580,3,0,6.97,6.93,66
117,590,6,0,6.51,5.54,65
118,600,6,0,9.91,5.82,67
119,610,4,0,6.06,6.97,62
120,620,6,0,11.41,6.86,61
121,630,6,0,10.09,6.95,70
