,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,3,0,7.6,6.28,74
1,20,4,0,7.73,3.48,74
2,30,9,0,9.43,6.75,74
3,40,9,0,8.34,5.57,74
4,50,8,0,6.67,4.73,74
5,60,3,0,8.14,4.61,78
6,70,5,0,6.95,3.35,78
7,80,5,0,9.86,8.29,78
8,90,5,0,8.71,4.28,78
9,100,6,0,5.23,4.77,78
10,110,5,0,5.26,3.76,74
11,120,8,1,9.72,6.44,74
12,130,10,0,4.3,5.46,74
13,140,9,0,6.2,6.13,74
14,150,3,0,6.08,3.19,74
15,160,5,0,6.38,3.79,70
16,170,6,0,11.97,5.74,70
17,180,7,0,8.06,5.38,70
18,190,3,0,7.99,3.54,70
19,200,5,0,9.65,4.91,70
20,210,9,0,9.64,6.27,74
21,220,4,0,10.64,6.02,74
22,230,10,0,6.4,5.78,74
23,240,5,0,4.96,5.83,74
24,250,9,0,7.17,7.36,74
25,260,9,0,6.32,6.08,73
26,270,6,0,6.85,9.1,73
27,280,7,0,18.74,14.27,73
28,290,5,0,7.69,9.23,73
29,300,3,0,4.82,2.83,73
30,310,8,0,10.91,6.08,72
31,320,4,0,9.47,4.68,72
32,330,6,0,5.08,5.38,72
33,340,5,0,6.87,5.92,72
34,350,3,0,5.17,3.92,72
35,360,1,0,7.08,7.21,73
36,370,10,0,3.94,6.47,73
37,380,3,0,6.41,4.48,73
38,390,5,0,5.88,6.75,73
39,400,4,0,9.01,7.72,73
40,410,8,0,6.51,6.45,73
41,420,6,0,6.26,8.51,73
42,430,2,0,4.72,6.24,73
43,440,10,0,5.39,6.41,73
44,450,10,0,6.6,6.5,73
45,460,7,0,6.01,6.14,74
46,470,6,0,3.02,5.66,74
47,480,3,0,6.02,4.58,74
48,490,6,0,4.39,6.84,74
49,500,4,0,6.66,8.51,74
50,510,7,0,6.17,9.21,73
51,520,5,0,5.98,11.01,73
52,530,6,0,6.21,9.04,73
53,540,11,0,4.96,6.58,73
54,550,2,0,6.46,7.91,73
55,560,4,0,6.5,7.99,76
56,570,3,0,6.1,6.88,76
57,580,17,0,6.33,8.86,76
58,590,9,0,7.44,6.87,76
59,600,9,0,6.18,10.15,76
60,610,3,0,5.1,8.21,77
61,620,4,0,5.84,5.16,77
62,630,7,0,5.5,7.84,77
63,640,7,0,5.79,7.81,77
64,10,4,0,7.54,7.35,77
65,20,9,0,6.18,7.66,72
66,30,8,0,7.27,7.32,72
67,40,3,0,6.66,8.4,72
68,50,5,0,6.07,8.99,72
69,60,14,0,6.67,5.58,72
70,70,3,0,6.63,7.11,73
71,80,6,0,6.21,8.49,73
72,90,5,0,5.3,6.09,73
73,100,4,0,4.07,4.08,73
74,110,10,0,5.81,6.18,73
75,120,6,0,5.35,8.73,76
76,130,3,0,4.61,6.9,76
77,140,5,0,5.59,9.18,76
78,150,5,0,5.62,6.98,76
79,160,5,0,6.01,7.09,76
80,170,7,0,5.24,7.41,74
81,180,3,0,6.12,8.44,74
82,190,6,0,7.41,6.15,74
83,200,10,0,6.6,6.91,74
84,210,5,0,7.74,6.66,74
85,220,8,0,8.57,7.51,72
86,230,4,0,7.21,9.77,72
87,240,5,0,5.92,6.78,70
88,250,11,0,5.13,6.01,75
89,260,9,0,5.26,7.08,73
90,270,8,0,5.86,6.95,69
91,280,5,0,8.97,5.77,71
92,290,6,0,7.96,10.43,73
93,300,13,0,6.6,6.47,75
