,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,1,0,4.51,1.47,64
1,20,1,0,7.46,3.06,64
2,30,1,0,7.14,2.83,64
3,40,0,0,6.97,1.57,64
4,50,0,0,4.11,2.07,64
5,60,0,0,5.07,2.04,65
6,70,1,0,8.92,3.05,65
7,80,4,0,4.99,4.03,65
8,90,1,0,4.38,2.73,65
9,100,4,0,4.04,2.11,65
10,110,1,0,4.8,2.27,64
11,120,1,0,4.11,2.86,64
12,130,1,0,4.48,2.67,64
13,140,0,0,2.39,1.95,64
14,150,0,0,3.95,2.4,64
15,160,3,0,6.24,2.61,65
16,170,1,0,4.12,1.82,65
17,180,0,0,3.19,2.64,65
18,190,3,0,4.1,2.23,65
19,200,5,0,2.31,2.9,65
20,210,11,0,5.96,3.42,64
21,220,8,0,5.31,2.54,64
22,230,7,0,6.65,3.23,64
23,240,3,0,5.25,2.65,64
24,250,3,0,3.36,3.68,64
25,260,6,0,5.73,6.5,65
26,270,4,0,8.87,4.03,65
27,280,0,0,9.44,3.26,65
28,290,0,0,9.37,5.12,65
29,300,2,0,5.13,2.96,65
30,310,2,0,7.37,3.48,63
31,320,1,0,5.9,2.58,63
32,330,1,0,6.06,2.24,63
33,340,4,0,10.53,4.04,63
34,350,1,0,6.06,2.7,63
35,360,1,0,5.55,3.05,64
36,370,0,0,5.68,2.46,64
37,380,1,0,6.5,2.19,64
38,390,0,0,5.71,3.56,64
39,400,1,0,3.89,3.01,64
40,410,1,0,3.12,1.93,63
41,420,2,0,4.88,3.66,63
42,430,0,0,3.9,3.62,63
43,440,2,0,5.84,2.15,63
44,450,2,0,4.4,6.75,63
45,460,1,0,5.85,2.71,64
46,470,1,0,6.32,2.29,64
47,480,3,0,3.36,2.35,64
48,490,0,0,7.34,2.21,64
49,500,1,0,8.57,5.39,64
50,510,0,0,4.52,3.46,63
51,520,1,0,6.17,2.89,63
52,530,0,0,6.05,2.35,63
53,540,4,0,7.54,4.49,63
54,550,0,0,5.68,4.04,63
55,560,0,0,5.92,2.55,64
56,570,0,0,8.16,2.57,64
57,580,0,0,3.03,2.25,64
58,590,0,0,4.65,2.63,64
59,600,0,0,4.31,2.25,64
60,610,0,0,3.88,2.51,65
61,620,1,0,7.44,3.06,65
62,630,8,0,4.96,2.84,65
63,10,0,0,6.5,2.4,65
64,20,0,0,7.72,2.88,65
65,30,0,0,3.32,2.23,66
66,40,0,0,4.54,3.08,66
67,50,1,0,7.16,3.02,66
68,60,1,0,6.57,3.07,66
69,70,2,0,7.32,7.43,66
70,80,0,0,5.28,2.84,64
71,90,1,0,3.95,3.49,64
72,100,4,0,7.85,3.45,64
73,110,0,0,5.29,2.52,64
74,120,1,0,4.93,3.52,64
75,130,1,0,5.71,2.69,65
76,140,1,0,7.04,3.17,65
77,150,5,0,11.55,4.78,65
