,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,3,0,6.53,4.6,108
1,20,0,0,5.18,2.89,108
2,30,1,0,4.53,1.99,108
3,40,0,0,4.08,1.37,108
4,50,5,0,5.86,8.25,108
5,60,0,0,6.48,2.2,110
6,70,1,0,5.3,1.92,110
7,80,1,0,10.08,4.27,110
8,90,2,0,5.73,3.86,110
9,100,1,0,4.81,2.03,110
10,110,1,0,4.84,2.13,104
11,120,2,0,4.53,2.5,104
12,130,1,0,5.56,1.97,104
13,140,4,0,13.81,4.37,104
14,150,0,0,3.8,1.57,104
15,160,3,0,4.91,3.08,107
16,170,1,1,4.36,1.6,107
17,180,4,0,6.11,2.04,107
18,190,0,0,6.68,1.86,107
19,200,0,0,5.16,3.36,107
20,210,2,0,5.51,2.69,110
21,220,1,0,6.13,2.14,110
22,230,1,0,3.35,1.9,110
23,240,1,0,6.02,2.44,110
24,250,0,0,4.32,1.49,110
25,260,2,0,5.11,2.02,109
26,270,0,0,4.79,1.49,109
27,280,1,0,3.13,1.9,109
28,290,1,0,6.44,1.75,109
29,300,2,0,4.97,2.32,109
30,310,2,1,5.89,2.71,108
31,320,0,0,4.47,1.67,108
32,330,1,0,5.07,1.85,108
33,340,0,0,7.45,1.73,108
34,350,1,2,4.39,2.99,108
35,360,0,0,4.05,1.32,104
36,370,2,0,5.54,3.87,104
37,380,1,0,4.88,2.14,104
38,390,0,0,3.93,1.51,104
39,400,0,0,4.18,1.61,104
40,410,3,0,5.04,2.76,106
41,420,0,0,7.81,1.59,106
42,430,1,0,5.53,2.23,106
43,440,0,3,5.68,2.4,106
44,450,0,0,6.55,2.18,106
45,460,7,0,8.74,4.91,108
46,470,2,0,11.31,4.01,108
47,480,1,0,9.49,4.26,108
48,490,1,0,5.16,3.76,108
49,500,5,0,7.08,5.27,108
50,510,2,0,6.19,3.02,106
51,520,1,0,11.12,5.86,106
52,530,4,6,12.06,4.91,106
53,540,1,1,7.06,4.15,106
54,550,1,0,8.66,3.5,106
55,560,2,0,9.7,4.32,105
56,570,2,0,5.62,2.47,105
57,580,2,0,9.66,3.0,105
58,590,3,0,7.73,2.89,105
59,10,1,0,9.72,4.55,105
60,20,1,0,8.06,4.37,106
61,30,0,0,7.27,3.2,106
62,40,1,0,9.42,3.44,106
63,50,1,0,8.98,2.41,106
64,60,0,0,4.75,1.54,106
65,70,2,0,7.37,3.47,110
66,80,3,0,7.21,3.7,110
67,90,5,0,5.98,5.57,110
68,100,2,0,10.4,3.96,110
69,110,1,0,7.37,2.54,110
70,120,1,0,9.83,3.89,108
71,130,2,0,8.67,5.97,108
72,140,0,0,9.14,2.72,108
73,150,0,0,3.97,1.61,108
74,160,0,0,4.04,1.28,108
75,170,1,0,5.17,2.82,108
76,180,0,0,4.84,2.11,108
77,190,2,0,9.91,3.42,108
78,200,1,0,5.15,2.9,108
79,210,3,0,5.31,3.02,108
80,220,3,0,8.92,5.6,109
81,230,2,0,7.34,4.0,109
82,240,0,2,6.54,1.76,109
83,250,1,0,6.04,1.96,109
84,260,0,0,6.67,2.2,109
85,270,2,0,5.75,3.08,103
86,280,2,0,7.87,3.19,103
87,290,0,0,5.67,1.55,104
