,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,2,0,7.32,5.98,70
1,20,11,0,6.99,8.96,70
2,30,6,0,4.8,2.53,70
3,40,3,0,7.54,3.86,70
4,50,5,0,7.07,4.11,70
5,60,11,0,6.47,3.63,69
6,70,5,0,5.06,5.97,69
7,80,4,0,3.83,3.36,69
8,90,10,0,5.36,3.32,69
9,100,15,0,3.54,2.55,69
10,110,7,0,5.08,2.24,68
11,120,5,0,2.64,2.78,68
12,130,15,1,8.89,3.49,68
13,140,11,0,7.64,3.76,68
14,150,5,0,7.53,3.48,68
15,160,22,0,6.05,3.26,69
16,170,16,0,4.83,3.53,69
17,180,8,0,3.77,2.97,69
18,190,8,0,5.37,3.1,69
19,200,20,0,7.84,4.2,69
20,210,16,1,9.42,5.9,71
21,220,15,0,9.78,3.91,71
22,230,27,0,6.02,4.16,71
23,240,34,0,14.58,5.9,71
24,250,40,0,8.34,3.78,71
25,260,25,0,12.15,4.64,70
26,270,36,0,7.77,2.71,70
27,280,40,0,6.96,4.45,70
28,290,20,0,5.11,3.91,70
29,300,3,0,3.68,3.37,70
30,310,18,0,10.96,4.1,68
31,320,6,0,7.33,4.74,68
32,330,6,0,6.71,4.62,68
33,340,22,0,12.57,4.77,68
34,350,15,0,5.3,3.73,68
35,360,23,0,9.23,4.34,69
36,370,14,0,10.22,14.3,69
37,380,12,1,7.76,6.39,69
38,390,4,17,12.47,4.33,69
39,400,7,8,6.88,4.29,69
40,410,11,1,6.25,4.69,69
41,420,7,0,13.31,5.22,69
42,430,7,0,4.11,2.89,69
43,440,3,0,3.75,5.38,69
44,450,11,0,3.5,4.87,69
45,460,2,0,4.11,2.37,68
46,470,4,0,3.11,3.47,68
47,480,5,0,6.84,4.06,68
48,490,8,0,9.32,3.85,68
49,500,2,0,8.1,3.72,68
50,510,6,0,5.56,4.77,66
51,520,5,0,7.42,4.23,66
52,530,9,0,6.21,4.16,66
53,540,8,0,5.19,3.02,66
54,550,7,0,9.74,4.08,66
55,560,35,2,8.1,3.26,67
56,570,23,0,6.55,4.97,67
57,580,9,0,5.16,1.52,67
58,590,8,0,8.83,4.46,67
59,600,11,0,10.79,7.42,67
60,610,10,0,6.93,3.97,70
61,620,15,0,6.99,4.88,70
62,630,29,0,7.33,5.68,70
63,640,21,0,8.08,3.13,70
64,650,5,0,12.61,4.58,70
65,660,5,0,9.56,5.39,68
66,670,2,0,6.18,4.88,68
67,680,5,0,7.39,4.14,68
68,690,18,0,11.6,8.75,68
69,700,8,0,7.52,2.98,68
70,710,5,0,13.04,4.1,67
71,720,7,0,11.35,6.38,67
72,730,14,0,5.73,4.81,67
73,740,35,0,5.65,4.9,67
74,750,28,0,9.53,3.33,67
75,760,12,0,8.13,3.76,68
76,770,16,0,7.08,6.37,68
77,10,3,0,6.49,6.75,68
78,20,2,0,5.31,4.78,68
79,30,2,1,4.87,4.51,68
80,40,2,0,4.33,3.39,69
81,50,4,2,7.39,4.78,69
82,60,0,1,9.67,3.09,69
83,70,2,6,5.37,4.59,69
84,80,2,3,5.46,4.57,69
85,90,3,2,7.01,6.01,69
86,100,4,7,5.52,6.84,69
87,110,2,8,11.05,8.0,69
88,120,2,16,7.69,6.31,69
89,130,5,20,5.92,4.61,69
90,140,1,25,8.86,6.18,68
91,150,1,12,8.2,4.27,68
92,160,1,13,4.5,3.91,68
93,170,4,3,5.73,5.49,68
94,180,4,0,5.09,3.73,68
95,190,3,1,10.09,7.08,67
96,200,2,2,12.98,5.64,67
97,210,0,0,7.68,1.9,67
98,220,3,1,9.96,4.23,67
99,230,0,1,7.27,3.63,67
100,240,15,1,10.79,5.85,65
101,250,9,0,11.45,5.06,65
102,260,3,0,8.55,3.64,65
103,270,1,0,4.91,2.77,65
104,280,7,0,7.26,6.22,65
105,290,5,3,5.4,4.02,67
106,300,5,2,5.4,3.74,67
107,310,12,2,8.0,5.44,67
108,320,15,2,8.49,4.08,67
109,330,3,2,6.51,3.73,67
110,340,0,3,2.53,1.66,68
111,350,1,2,6.16,2.84,68
112,360,6,1,6.55,5.11,68
113,370,7,1,13.58,5.28,68
114,380,10,0,10.09,4.66,68
115,390,14,9,4.54,4.03,71
116,400,3,10,5.23,3.96,71
117,410,3,9,7.66,7.15,71
118,420,4,12,3.1,3.93,71
119,430,2,6,4.87,5.04,71
120,440,2,18,2.77,5.09,69
121,450,3,19,5.14,4.8,69
122,460,4,5,4.64,5.27,69
123,470,5,1,6.72,4.3,69
124,480,2,1,5.1,4.17,69
125,490,4,0,4.78,6.13,67
126,500,3,0,4.47,4.68,67
127,510,4,0,9.27,4.69,67
128,520,0,13,14.0,8.92,67
129,530,1,6,14.85,7.48,67
130,540,2,1,8.27,4.54,67
131,550,4,0,6.2,7.39,67
132,560,3,0,13.77,7.15,67
133,570,3,0,9.59,6.09,67
134,580,1,0,10.58,4.57,67
135,590,4,0,14.58,6.8,70
136,600,0,10,7.88,3.12,70
137,610,2,2,4.17,5.1,70
138,620,2,1,3.64,3.84,70
139,630,3,2,3.46,5.34,70
140,640,6,1,7.8,5.24,66
141,650,2,0,3.86,3.52,66
142,660,7,5,7.55,5.52,66
143,670,4,4,8.96,5.45,66
144,680,1,20,5.59,3.01,66
145,690,5,27,4.45,6.75,67
146,700,2,12,4.24,5.36,67
147,710,1,23,5.53,3.42,68
148,720,3,34,5.51,5.44,66
149,730,13,20,7.41,8.17,71
150,740,29,2,10.49,6.03,71
