,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM POLAR,BPM RAYAN
0,10,35,0,3.01,1.49,,58
1,20,29,0,5.37,1.79,,58
2,30,22,0,4.43,1.95,,58
3,40,17,0,5.91,1.85,,58
4,50,7,0,3.8,1.81,,58
5,60,5,0,3.39,1.8,,59
6,70,7,0,2.96,1.73,,59
7,80,10,0,3.13,1.87,,59
8,90,13,0,3.82,2.14,,59
9,100,15,0,3.58,1.88,,59
10,110,20,0,3.3,1.77,,57
11,120,17,0,3.64,2.83,,57
12,130,18,0,4.3,1.89,,57
13,140,15,0,3.84,2.22,,57
14,150,5,0,4.22,2.43,,57
15,160,2,0,3.63,3.35,,60
16,170,10,0,4.83,5.89,,60
17,180,10,0,4.07,3.19,,60
18,190,4,0,3.53,2.24,,60
19,200,5,0,3.12,2.05,,60
20,210,12,0,3.62,2.24,,60
21,220,10,0,3.83,2.64,,60
22,230,4,0,3.63,2.27,,60
23,240,6,0,4.26,2.32,,60
24,250,5,0,2.6,2.27,,60
25,260,7,0,2.73,1.7,,56
26,270,6,0,2.74,1.95,,56
27,280,5,0,3.75,2.27,,56
28,290,3,0,3.71,3.31,,56
29,300,4,0,2.78,2.82,,56
30,310,4,0,3.34,2.25,,60
31,320,6,0,3.86,2.06,,60
32,330,5,0,3.09,2.42,,60
33,340,8,0,3.3,1.93,,60
34,350,14,0,2.81,1.71,,60
35,360,8,0,2.57,1.85,,58
36,370,5,0,3.13,2.0,,58
37,380,8,0,3.51,2.61,,58
38,390,19,0,5.38,2.51,,58
39,400,7,0,3.08,2.59,,58
40,410,11,0,3.59,3.49,,55
41,420,22,0,4.33,4.7,,55
42,430,10,0,5.14,3.84,,55
43,440,8,0,3.52,2.64,,55
44,450,10,0,2.66,2.04,,55
45,460,19,0,4.04,2.25,,58
46,470,11,0,4.88,2.44,,58
47,480,14,0,3.95,2.42,,58
48,490,17,0,5.39,2.17,,58
49,500,19,0,4.32,1.78,,58
50,510,10,0,3.33,1.99,,56
51,520,6,0,4.01,2.4,,56
52,530,5,0,3.97,2.1,,56
53,540,10,0,4.32,2.03,,56
54,550,11,0,6.72,2.46,,56
55,560,16,0,4.07,2.37,,59
56,570,8,0,6.37,2.41,,59
57,580,14,0,5.02,2.16,,59
58,590,9,0,2.8,1.97,,59
59,600,9,0,4.04,2.79,,59
60,10,5,0,3.38,2.17,,57
61,20,8,0,3.25,2.69,,57
62,30,13,0,5.51,2.99,,57
63,40,7,0,4.21,2.7,,57
64,50,4,0,3.98,2.31,,57
65,60,26,0,4.6,2.84,,56
66,70,11,0,3.8,2.2,,56
67,80,13,0,5.81,2.62,,56
68,90,7,0,3.71,2.22,,56
69,100,9,0,3.36,2.11,,56
70,110,12,0,4.25,2.56,,57
71,120,25,0,5.73,2.44,,57
72,130,8,0,6.82,2.58,,57
73,140,5,0,5.7,2.24,,57
74,150,21,0,7.62,2.16,,57
75,160,25,0,5.59,2.69,,56
76,170,23,0,5.34,2.66,,56
77,180,6,0,5.08,2.7,,56
78,190,13,0,4.75,2.09,,56
79,200,5,0,5.07,2.51,,56
80,210,3,0,3.57,2.05,,58
81,220,15,0,3.46,1.89,,58
82,230,11,0,5.73,2.57,,58
83,240,9,0,3.99,2.25,,58
84,250,7,0,7.18,2.2,,58
85,260,14,0,6.9,2.41,,59
86,270,8,0,5.32,2.53,,59
87,280,25,0,11.55,2.18,,59
88,290,24,0,8.93,2.23,,59
89,300,26,0,8.89,2.56,,59
90,310,36,0,6.32,2.09,,57
91,320,21,0,8.72,2.17,,57
92,330,15,0,3.45,2.42,,57
93,340,27,0,5.17,2.1,,57
94,350,33,0,8.94,2.42,,57
95,360,12,0,7.88,2.24,,55
96,370,21,0,7.11,2.68,,55
97,380,25,0,3.31,2.55,,55
98,390,23,0,6.16,2.37,,55
99,400,11,0,6.5,2.22,,55
100,410,23,0,7.37,2.15,,58
101,420,27,0,10.09,2.08,,58
102,430,28,0,8.72,2.66,,58
103,440,18,0,7.88,2.76,,58
104,450,8,0,5.91,2.62,,58
105,460,16,0,10.23,2.32,,57
106,470,23,0,8.72,2.68,,57
107,480,26,0,7.34,2.7,,57
108,490,8,0,8.46,1.89,,57
109,500,6,0,10.44,3.25,,57
110,510,7,0,5.95,2.49,,58
111,520,26,0,5.09,2.22,,58
112,530,15,0,11.24,2.54,,58
113,540,13,0,9.84,2.24,,58
114,550,20,0,10.9,2.31,,58
115,560,30,0,14.32,2.63,,56
116,570,25,0,11.54,2.32,,57
117,580,15,0,7.41,2.52,,53
118,590,10,0,5.53,1.82,,60
119,600,8,0,5.84,1.87,,54
