,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,2,0,5.14,8.34,91
1,20,4,0,4.73,5.87,91
2,30,3,0,4.85,5.9,91
3,40,6,0,4.79,4.99,91
4,50,5,0,4.61,4.75,91
5,60,1,0,6.33,6.17,88
6,70,23,0,14.11,8.18,88
7,80,7,0,5.15,7.43,88
8,90,5,0,4.14,5.31,88
9,100,5,0,5.12,7.81,88
10,110,7,0,6.8,6.55,88
11,120,3,0,5.59,6.69,88
12,130,3,0,6.43,6.32,88
13,140,4,0,4.9,5.6,88
14,150,4,1,3.66,5.23,88
15,160,3,0,4.41,7.22,87
16,170,2,0,4.79,4.89,87
17,180,2,0,5.49,8.09,87
18,190,2,0,5.59,2.7,87
19,200,23,0,5.53,7.29,87
20,210,8,0,6.87,8.4,88
21,220,9,0,5.28,4.35,88
22,230,5,0,6.82,7.7,88
23,240,17,0,6.78,5.88,88
24,250,9,0,6.11,6.73,88
25,260,13,0,7.57,6.0,89
26,270,17,0,12.06,10.77,89
27,280,17,0,4.1,4.38,89
28,290,18,0,5.64,7.73,89
29,300,15,0,6.17,6.6,89
30,310,15,0,5.45,8.13,89
31,320,6,0,5.26,10.86,89
32,330,24,0,9.37,7.45,89
33,340,13,0,7.61,7.11,89
34,350,3,0,7.0,13.19,89
35,360,9,0,6.41,12.63,88
36,370,11,0,6.54,9.14,88
37,380,18,0,5.49,6.93,88
38,390,18,0,5.99,8.56,88
39,400,8,0,6.88,5.39,88
40,410,6,0,6.76,7.61,88
41,420,3,0,6.9,8.23,88
42,430,8,0,6.2,8.11,88
43,440,3,0,4.24,7.54,88
44,450,6,0,5.65,7.62,88
45,460,4,0,11.4,7.75,88
46,470,6,0,5.04,6.86,88
47,480,13,0,5.7,7.91,88
48,490,8,0,11.93,9.19,88
49,500,6,0,7.91,8.36,88
50,510,10,0,6.5,6.52,89
51,520,2,0,5.74,4.48,89
52,530,3,0,6.85,4.25,89
53,540,18,0,5.77,6.5,89
54,550,6,0,6.56,6.51,89
55,560,3,0,9.82,4.64,87
56,570,6,0,9.04,8.08,87
57,580,12,0,9.87,8.53,87
58,590,12,0,5.31,10.65,87
59,600,3,0,6.05,9.48,87
60,610,8,0,7.25,6.86,88
61,10,7,0,7.0,7.78,88
62,20,8,0,7.77,5.23,88
63,30,5,0,8.02,5.22,88
64,40,5,0,7.11,4.96,88
65,50,4,0,5.51,4.46,87
66,60,8,0,8.39,6.73,87
67,70,4,0,5.42,9.73,87
68,80,3,0,8.61,8.94,87
69,90,4,0,6.41,5.26,87
70,100,6,0,7.01,4.8,89
71,110,8,0,7.33,6.2,89
72,120,4,0,5.91,4.88,89
73,130,3,0,6.67,4.66,89
74,140,8,0,4.19,5.1,89
75,150,3,0,5.68,5.97,88
76,160,3,0,6.2,6.22,88
77,170,5,0,5.81,5.42,88
78,180,3,0,5.17,5.77,88
79,190,10,0,5.22,6.54,88
80,200,4,0,7.59,6.39,87
81,210,2,0,8.82,5.17,87
82,220,7,0,6.09,7.4,87
83,230,15,0,3.96,7.29,87
84,240,2,0,7.58,7.97,87
85,250,13,0,10.55,8.43,89
86,260,4,0,6.98,5.9,89
87,270,10,0,6.62,7.96,89
88,280,6,0,8.44,6.04,89
89,290,6,0,8.89,6.66,89
90,300,6,0,4.81,5.41,87
91,310,10,0,8.51,5.73,87
92,320,10,0,5.06,7.92,87
93,330,14,0,5.48,6.96,87
94,340,12,0,5.43,6.62,87
95,350,6,0,7.51,5.91,87
96,360,15,0,7.64,5.98,87
97,370,3,0,9.26,6.17,87
98,380,7,0,6.71,6.03,87
99,390,3,0,7.01,5.58,87
100,400,6,0,4.92,6.53,88
101,410,11,0,5.37,8.91,88
102,420,9,0,7.82,6.33,88
103,430,8,0,7.27,7.17,88
104,440,10,0,5.39,6.52,88
