,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,7,0,6.99,5.16,80,2
1,20,23,0,9.89,4.12,80,2
2,30,11,0,5.48,6.95,80,2
3,40,6,0,9.42,5.4,80,2
4,50,4,0,4.59,2.58,80,2
5,60,15,0,6.54,2.67,80,2
6,70,8,0,7.44,3.44,80,2
7,80,5,0,5.06,2.97,80,2
8,90,1,0,2.9,1.87,80,2
9,100,3,0,3.93,2.65,80,2
10,110,2,0,4.03,2.26,80,2
11,120,3,0,5.34,3.69,80,2
12,130,8,0,3.11,3.31,80,2
13,140,5,0,4.93,4.49,80,2
14,150,4,0,3.45,4.5,80,2
15,160,6,0,5.78,4.32,80,2
16,170,4,0,4.0,2.89,80,2
17,180,3,0,7.48,6.7,80,2
18,190,15,0,9.24,3.86,80,2
19,200,11,0,6.28,5.49,80,2
20,210,4,0,7.97,4.39,81,2
21,220,3,0,5.32,2.87,81,2
22,230,2,0,5.14,2.46,81,2
23,240,2,0,4.16,2.31,81,2
24,250,3,0,5.71,2.51,81,2
25,260,2,0,4.21,2.64,79,2
26,270,0,0,4.08,1.48,79,2
27,280,4,0,4.76,2.77,79,2
28,290,5,0,4.1,3.03,79,2
29,300,3,0,5.0,2.77,79,2
30,310,1,0,4.21,2.71,81,2
31,320,5,0,10.64,4.19,81,2
32,330,8,0,8.89,5.4,81,2
33,340,24,0,5.91,7.56,81,2
34,350,9,0,3.86,4.68,81,2
35,360,3,0,4.16,2.92,81,2
36,370,3,0,4.46,5.36,81,2
37,380,5,0,6.53,4.53,81,2
38,390,2,0,6.08,3.17,81,2
39,400,9,0,7.05,3.82,81,2
40,410,3,0,5.81,4.19,81,2
41,420,0,0,4.87,2.33,81,2
42,430,3,0,5.88,3.14,81,2
43,440,7,0,6.42,6.73,81,2
44,450,3,0,7.52,4.43,81,2
45,460,9,0,7.45,6.14,80,2
46,470,8,0,7.37,4.97,80,2
47,480,3,0,4.54,3.8,80,2
48,490,0,0,4.36,2.31,80,2
49,500,5,0,6.24,3.69,80,2
50,510,5,0,5.09,4.26,79,2
51,520,6,0,6.09,4.41,79,2
52,530,2,0,3.6,2.46,79,2
53,540,6,0,5.62,3.44,79,2
54,550,2,0,4.88,2.8,79,2
55,560,5,0,7.84,4.84,80,2
56,570,3,0,6.82,3.13,80,2
57,580,2,0,9.27,2.96,80,2
58,590,4,1,8.31,6.66,80,2
59,600,4,0,6.38,3.84,80,2
60,610,5,0,4.61,4.61,79,2
61,620,6,0,4.52,3.53,79,2
62,630,3,0,3.31,3.13,79,2
63,640,3,0,4.36,3.65,79,2
64,650,3,0,5.6,4.99,79,2
65,660,1,0,5.97,2.36,79,2
66,670,4,0,4.38,6.17,79,2
67,680,8,0,6.33,5.77,79,2
68,10,1,0,5.13,4.06,79,2
69,20,2,0,6.67,2.48,79,2
70,30,14,0,10.04,5.7,81,2
71,40,4,0,4.41,3.06,81,2
72,50,5,0,7.07,4.72,81,2
73,60,3,0,5.29,6.02,81,2
74,70,3,0,5.18,2.27,81,2
75,80,5,0,4.26,13.37,80,2
76,90,5,0,5.05,12.84,80,2
77,100,2,0,4.66,3.03,80,2
78,110,6,0,6.83,4.16,80,2
79,120,8,0,7.15,4.25,80,2
80,130,3,0,5.13,2.58,79,2
81,140,3,0,4.64,4.75,79,2
82,150,8,0,9.66,4.94,79,2
83,160,24,0,10.76,4.87,79,2
84,170,33,0,7.01,8.57,79,2
85,180,23,0,5.4,4.93,82,2
86,190,9,0,5.51,3.22,82,2
87,200,3,0,4.47,2.84,82,2
88,210,5,0,7.61,4.01,82,2
89,220,3,0,3.86,3.6,82,2
90,230,3,0,6.16,4.41,81,2
