,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,3,0,7.2,6.32,79,2
1,20,6,0,9.34,9.9,79,2
2,30,4,0,7.04,11.8,79,2
3,40,3,0,8.75,6.76,79,2
4,50,4,0,8.48,7.98,79,2
5,60,7,0,7.72,11.38,80,2
6,70,3,0,6.11,4.87,80,2
7,80,5,0,8.4,11.77,80,2
8,90,7,0,10.18,6.28,80,2
9,100,1,0,6.94,2.37,80,2
10,110,7,0,12.33,5.69,76,2
11,120,5,0,9.82,6.44,76,2
12,130,4,0,8.0,5.38,76,2
13,140,8,0,9.52,8.03,76,2
14,150,10,0,12.73,9.56,76,2
15,160,10,0,7.87,4.48,79,2
16,170,5,0,7.54,7.88,79,2
17,180,6,0,6.7,7.79,79,2
18,190,9,0,8.96,8.59,79,2
19,200,6,0,9.2,7.8,79,2
20,210,6,0,8.48,6.83,79,2
21,220,5,0,7.73,8.41,79,2
22,230,5,0,5.65,8.08,79,2
23,240,7,0,10.4,10.31,79,2
24,250,4,0,7.55,8.6,79,2
25,260,5,0,7.27,6.01,79,2
26,270,7,0,8.79,6.83,79,2
27,280,1,0,5.34,2.95,79,2
28,290,4,0,9.87,6.22,79,2
29,300,2,0,10.67,4.46,79,2
30,310,3,0,9.14,5.61,78,2
31,320,10,0,10.98,8.42,78,2
32,330,7,0,6.33,7.81,78,2
33,340,6,0,7.69,7.67,78,2
34,350,3,0,7.78,8.81,78,2
35,360,11,0,13.18,8.18,78,2
36,370,4,0,11.17,6.25,78,2
37,380,7,0,8.06,7.02,78,2
38,390,3,0,9.74,5.9,78,2
39,400,4,0,12.21,6.32,78,2
40,410,2,0,7.51,3.46,79,2
41,420,7,0,13.03,7.71,79,2
42,430,9,0,8.99,8.0,79,2
43,440,11,0,12.32,9.02,79,2
44,450,8,0,9.85,8.68,79,2
45,460,7,0,9.2,7.99,78,2
46,470,13,0,10.46,7.93,78,2
47,480,8,0,7.6,8.26,78,2
48,490,0,0,8.11,2.09,78,2
49,500,9,0,14.96,8.12,78,2
50,510,4,0,11.52,7.54,77,2
51,520,9,0,10.84,15.47,77,2
52,530,7,0,9.36,8.22,77,2
53,540,5,0,10.72,7.29,77,2
54,550,0,0,5.55,1.81,77,2
55,560,6,0,6.69,7.09,76,2
56,570,5,0,7.45,5.24,76,2
57,580,4,0,8.44,5.47,76,2
58,590,8,0,9.93,7.81,76,2
59,600,4,0,11.9,5.98,76,2
60,610,9,0,10.13,7.87,78,2
61,10,4,0,12.84,7.79,78,2
62,20,8,0,11.01,6.74,78,2
63,30,2,0,10.09,5.75,78,2
64,40,5,0,8.19,6.18,78,2
65,50,3,0,5.02,4.42,79,2
66,60,7,0,8.54,6.98,79,2
67,70,3,0,8.44,6.14,79,2
68,80,4,0,4.81,7.07,79,2
69,90,5,0,13.47,7.58,79,2
70,100,3,0,9.29,6.92,77,2
71,110,4,0,9.54,6.98,77,2
72,120,3,0,8.31,4.75,77,2
73,130,3,0,11.17,5.33,77,2
74,140,9,0,11.92,9.0,77,2
75,150,9,0,11.62,7.31,77,2
76,160,3,0,7.07,6.94,77,2
77,170,9,0,10.92,8.43,77,2
78,180,3,0,6.99,4.9,77,2
79,190,1,0,7.57,3.79,77,2
80,200,8,0,10.17,6.67,78,2
81,210,1,0,6.77,2.13,78,2
82,220,2,0,6.66,5.1,78,2
83,230,2,0,7.32,9.6,78,2
84,240,9,0,9.8,10.94,78,2
85,250,12,0,10.3,8.55,77,2
86,260,11,0,7.54,9.83,77,2
87,270,7,0,4.52,8.72,77,2
88,280,6,0,9.2,8.74,77,2
89,290,11,0,6.74,6.8,77,2
90,300,9,0,6.13,7.39,78,2
91,310,7,0,7.32,9.17,78,2
92,320,3,0,5.79,3.96,78,2
93,330,6,0,6.12,6.52,78,2
94,340,4,0,13.14,4.81,78,2
95,350,16,0,8.7,8.62,80,2
96,360,11,0,10.34,9.79,80,2
97,370,13,1,10.88,14.04,80,2
98,380,12,0,8.82,12.58,80,2
99,390,6,0,6.32,6.5,80,2
100,400,3,0,8.19,5.53,79,2
101,410,8,0,13.16,7.53,79,2
102,420,10,0,8.77,12.25,79,2
103,430,5,0,6.93,5.97,79,2
104,440,6,0,6.39,7.57,79,2
105,450,7,0,8.17,7.79,76,2
106,460,24,12,11.7,10.18,76,2
107,470,14,0,10.61,10.6,76,2
108,480,5,1,6.05,9.23,76,2
109,490,15,0,7.86,10.35,76,2
110,500,9,0,7.51,6.87,75,2
111,510,3,0,7.65,6.62,75,2
112,520,6,0,6.98,7.3,75,2
113,530,1,0,11.05,4.17,75,2
114,540,2,0,7.03,4.16,75,2
115,550,7,1,10.82,7.71,81,2
116,560,1,0,9.42,4.32,81,2
117,570,9,0,10.65,8.3,81,2
118,580,11,0,9.69,8.39,81,2
119,590,6,0,6.63,7.24,81,2
120,600,10,0,8.46,8.47,78,2
121,610,12,0,7.71,8.47,78,2
122,620,6,0,6.7,6.42,78,2
123,630,8,0,8.67,8.62,78,2
124,640,7,0,8.48,8.63,78,2
125,650,2,0,5.59,4.6,82,2
126,10,3,0,5.2,5.44,82,2
127,20,5,0,10.3,9.09,82,2
128,30,1,0,6.09,4.89,82,2
129,40,4,0,6.49,5.76,82,2
130,50,6,0,7.53,7.71,82,2
131,60,2,0,11.09,5.34,82,2
132,70,4,0,8.19,6.99,82,2
133,80,7,0,12.53,7.96,82,2
134,90,3,0,8.39,5.93,82,2
135,100,6,1,8.53,10.37,80,2
136,110,9,0,10.21,9.79,80,2
137,120,5,0,9.55,6.88,80,2
138,130,5,0,8.62,8.63,80,2
139,140,4,0,11.34,7.6,80,2
140,150,9,0,6.55,8.85,76,2
141,160,7,0,11.44,8.86,76,2
142,170,11,0,13.12,9.59,76,2
