,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,30,0,4.62,3.63,73,2
1,20,26,0,7.41,4.45,73,2
2,30,7,0,8.17,3.78,73,2
3,40,16,0,8.37,9.48,73,2
4,50,12,0,10.8,5.9,73,2
5,60,10,0,12.61,7.67,74,2
6,70,7,0,7.26,4.12,74,2
7,80,1,0,9.47,4.74,74,2
8,90,3,0,9.68,6.75,74,2
9,100,4,0,11.72,6.07,74,2
10,110,6,0,5.91,7.29,72,2
11,120,1,0,8.71,5.37,72,2
12,130,11,0,9.09,5.38,72,2
13,140,3,0,7.74,11.63,72,2
14,150,13,0,9.23,6.14,72,2
15,160,16,0,13.89,4.17,72,2
16,170,7,0,6.89,5.26,72,2
17,180,2,0,9.72,9.38,72,2
18,190,2,0,5.53,9.67,72,2
19,200,1,0,7.82,11.49,72,2
20,210,9,0,9.07,6.31,73,2
21,220,12,0,10.42,4.07,73,2
22,230,4,0,9.64,6.15,73,2
23,240,3,0,7.46,7.57,73,2
24,250,8,0,8.54,3.55,73,2
25,260,2,0,7.87,11.54,72,2
26,270,19,0,9.59,4.77,72,2
27,280,22,0,6.78,4.3,72,2
28,290,16,0,7.47,9.89,72,2
29,300,14,0,8.35,4.62,72,2
30,310,6,0,9.55,5.86,72,2
31,320,6,0,7.81,4.36,72,2
32,330,3,0,7.17,3.78,72,2
33,340,8,0,8.7,4.38,72,2
34,350,18,0,11.17,6.32,72,2
35,360,16,0,7.61,6.14,73,2
36,370,4,0,6.17,8.92,73,2
37,380,19,0,11.31,8.8,73,2
38,390,18,0,7.76,3.35,73,2
39,400,6,0,8.57,7.59,73,2
40,410,19,0,11.43,7.63,71,2
41,420,19,0,6.93,2.66,71,2
42,430,2,0,7.41,4.18,71,2
43,440,6,0,5.85,2.17,71,2
44,450,1,0,7.29,5.82,71,2
45,460,8,0,7.21,10.24,71,2
46,470,12,0,9.44,6.43,71,2
47,480,6,0,6.8,7.85,71,2
48,490,6,0,10.21,6.07,71,2
49,500,3,0,9.36,4.79,71,2
50,510,2,0,8.16,11.04,73,2
51,520,13,0,8.89,5.26,73,2
52,530,12,0,7.33,9.5,73,2
53,540,3,0,5.95,10.5,73,2
54,550,3,0,6.8,10.48,73,2
55,560,7,0,6.8,7.35,72,2
56,570,3,0,6.64,9.85,72,2
57,580,6,0,7.21,10.03,72,2
58,590,3,0,5.92,4.77,72,2
59,600,4,0,5.88,4.27,72,2
60,610,3,0,4.69,4.84,72,2
61,620,12,0,7.84,13.83,72,2
62,630,4,0,9.15,6.49,72,2
63,640,1,0,5.43,6.54,72,2
64,650,3,0,7.23,11.93,72,2
65,660,15,0,8.38,12.92,70,2
66,670,18,0,8.9,10.54,70,2
67,680,4,0,7.38,11.73,70,2
68,690,2,0,8.04,7.93,70,2
69,700,3,0,5.82,6.97,70,2
70,710,18,0,8.32,4.01,70,2
71,720,15,0,10.9,9.16,70,2
72,730,2,0,7.78,12.5,70,2
73,740,4,0,8.76,6.24,70,2
74,750,3,0,9.0,6.92,70,2
75,760,1,0,9.47,7.52,70,2
76,770,10,0,8.03,3.81,70,2
77,780,7,0,7.67,12.46,70,2
78,790,1,0,4.83,2.49,70,2
79,800,5,0,7.3,13.13,70,2
80,810,5,0,7.86,4.12,73,2
81,820,2,0,11.4,4.77,73,2
82,830,2,0,10.05,12.09,73,2
83,840,1,0,6.21,2.67,73,2
84,850,8,0,9.61,3.8,73,2
85,860,17,0,7.39,9.09,73,2
86,870,6,0,7.02,3.95,73,2
87,880,17,0,13.77,10.82,73,2
88,890,5,0,9.3,11.21,73,2
89,900,2,0,10.55,8.85,73,2
90,910,3,0,7.26,7.33,73,2
91,920,3,0,7.08,5.51,73,2
92,930,4,0,10.76,6.32,73,2
93,940,6,0,8.37,8.11,73,2
94,950,11,0,6.6,4.59,73,2
95,960,11,0,4.01,5.27,73,2
96,970,19,0,8.67,3.36,73,2
97,980,22,0,10.42,3.95,73,2
98,990,13,0,5.83,10.03,73,2
99,1000,8,0,6.4,8.57,73,2
100,1010,7,0,9.52,4.39,73,2
101,1020,1,0,9.94,6.2,73,2
102,1030,2,0,9.25,7.27,73,2
103,1040,3,0,10.75,4.52,73,2
104,1050,2,0,9.71,4.99,73,2
105,1060,2,0,6.76,14.17,71,2
106,1070,21,0,6.92,8.9,71,2
107,1080,21,0,4.76,5.93,71,2
108,1090,7,0,8.14,4.21,71,2
109,1100,24,0,6.64,5.61,71,2
110,1110,22,0,9.67,5.99,71,2
111,1120,11,0,8.85,3.73,71,2
112,1130,13,0,9.61,7.69,71,2
113,1140,13,0,9.67,10.61,71,2
114,1150,30,0,8.52,6.26,71,2
115,1160,23,0,8.39,4.56,72,2
116,1170,10,0,9.75,2.9,72,2
117,1180,6,0,8.22,7.87,72,2
118,1190,15,0,7.24,7.89,72,2
119,1200,9,0,6.3,8.08,72,2
120,1210,11,0,6.95,7.31,70,2
121,1220,1,0,8.51,7.62,70,2
122,1230,2,0,7.02,11.86,70,2
123,1240,6,0,7.32,9.39,70,2
124,1250,7,0,9.35,5.64,70,2
125,1260,9,0,6.96,7.49,73,2
126,1270,19,0,10.89,4.32,73,2
127,1280,21,0,7.23,12.85,73,2
128,1290,15,0,6.76,4.49,73,2
129,1300,16,0,8.12,4.66,73,2
130,1310,37,0,7.99,8.72,73,2
131,1320,10,0,5.97,7.64,73,2
132,1330,23,0,8.53,9.79,73,2
133,1340,32,0,7.29,7.9,73,2
134,1350,14,0,4.74,4.25,73,2
135,1360,11,0,5.04,6.52,72,2
136,1370,5,0,5.52,4.01,72,2
137,1380,0,0,4.12,2.01,72,2
138,1390,5,0,9.73,10.64,72,2
139,1400,7,0,4.66,7.15,72,2
140,1410,22,0,9.29,6.27,72,2
141,1420,21,0,8.17,10.29,72,2
142,1430,16,0,7.36,4.66,72,2
143,1440,15,0,4.65,4.16,72,2
144,1450,7,0,6.19,4.56,72,2
145,1460,8,0,6.17,5.72,72,2
146,1470,13,0,6.11,8.77,72,2
147,1480,23,0,14.32,6.16,72,2
148,1490,2,0,7.52,8.52,72,2
149,1500,0,0,5.31,1.98,72,2
150,1510,6,0,4.79,2.1,72,2
151,1520,9,0,7.85,10.71,72,2
152,1530,6,0,3.85,4.5,72,2
153,1540,4,0,7.92,11.77,72,2
154,1550,7,0,8.19,11.78,72,2
155,1560,14,0,7.61,8.08,73,2
156,1570,4,0,5.57,6.12,73,2
157,1580,10,0,9.65,7.26,73,2
158,1590,12,0,8.84,9.27,73,2
159,1600,7,0,7.42,4.18,73,2
160,1610,3,0,9.63,6.23,69,2
161,1620,1,0,9.32,5.41,69,2
162,1630,12,0,10.46,6.52,69,2
163,1640,9,0,7.23,8.21,69,2
164,1650,3,0,4.65,4.43,69,2
165,1660,21,0,9.17,9.13,74,2
166,1670,17,0,9.62,6.12,74,2
167,1680,12,0,10.67,8.58,74,2
168,1690,7,0,5.74,6.5,74,2
169,1700,1,0,8.72,4.31,74,2
170,1710,7,0,10.33,7.61,71,2
171,1720,26,0,6.68,2.81,71,2
172,1730,12,0,8.79,4.61,71,2
173,1740,2,0,11.69,4.92,71,2
174,1750,6,0,4.82,6.42,76,2
175,1760,0,0,8.12,5.85,71,2
176,1770,8,0,7.85,10.65,76,2
177,1780,10,0,6.13,5.66,68,2
178,1790,6,0,9.13,4.28,71,2
179,1800,17,0,13.36,5.65,69,2
180,1810,6,0,10.59,5.28,72,2
181,1820,5,0,9.16,4.43,75,2
182,1830,7,0,7.94,4.99,72,2
183,1840,11,0,6.84,10.39,74,2
184,1850,12,0,8.4,5.61,73,2
