,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,1,0,4.45,2.07,73,2
1,20,1,0,4.12,6.08,73,2
2,30,1,0,3.69,4.21,73,2
3,40,2,0,4.44,4.71,73,2
4,50,4,0,3.67,7.27,73,2
5,60,5,0,3.88,4.4,73,2
6,70,4,0,3.37,4.69,73,2
7,80,3,0,7.78,5.64,73,2
8,90,5,0,9.71,4.47,73,2
9,100,1,0,3.41,4.13,73,2
10,110,1,0,2.81,3.69,75,2
11,120,7,0,7.48,5.61,75,2
12,130,4,0,4.93,6.35,75,2
13,140,3,0,3.29,5.28,75,2
14,150,3,0,6.29,5.05,75,2
15,160,4,0,5.95,5.06,75,2
16,170,0,0,11.77,5.82,75,2
17,180,3,0,9.29,8.42,75,2
18,190,4,0,4.64,2.53,75,2
19,200,3,0,3.89,3.58,75,2
20,210,4,0,3.03,4.16,75,2
21,220,4,0,5.82,6.48,75,2
22,230,0,0,3.15,3.47,75,2
23,240,2,0,3.42,3.57,75,2
24,250,6,0,7.8,5.02,75,2
25,260,3,0,7.61,4.89,74,2
26,270,5,0,6.09,4.93,74,2
27,280,4,0,3.14,5.15,74,2
28,290,1,0,4.39,3.57,74,2
29,300,2,0,3.29,4.93,74,2
30,310,1,0,7.57,4.99,74,2
31,320,3,0,9.6,3.65,74,2
32,330,2,0,9.75,4.11,74,2
33,340,3,0,5.01,4.63,74,2
34,350,1,0,7.6,3.9,74,2
35,360,1,0,4.46,5.03,75,2
36,370,1,0,4.01,2.6,75,2
37,380,3,0,11.07,2.67,75,2
38,390,2,0,3.63,4.59,75,2
39,400,3,0,4.05,6.66,75,2
40,410,2,0,2.48,3.17,74,2
41,420,5,0,2.98,3.89,74,2
42,430,3,0,4.55,5.36,74,2
43,440,5,0,4.18,4.45,74,2
44,450,3,0,2.31,3.01,74,2
45,460,4,0,5.3,5.66,74,2
46,470,3,0,6.2,4.36,74,2
47,480,3,0,11.47,5.81,74,2
48,490,3,0,3.43,5.74,74,2
49,500,6,0,3.48,4.48,74,2
50,510,2,0,6.27,3.44,76,2
51,520,4,0,4.25,6.6,76,2
52,530,5,0,5.31,4.53,76,2
53,540,4,0,3.1,4.37,76,2
54,550,3,0,2.9,4.48,76,2
55,560,5,0,5.4,7.03,74,2
56,570,4,0,5.49,7.49,74,2
57,580,1,0,3.57,6.55,74,2
58,590,1,0,3.2,3.69,74,2
59,600,3,0,5.53,3.97,74,2
60,610,6,0,7.25,4.82,76,2
61,620,4,0,5.83,4.29,76,2
62,630,2,0,2.95,5.45,76,2
63,640,2,0,5.18,4.13,76,2
64,650,1,0,5.33,3.06,76,2
65,10,3,0,6.7,4.37,75,2
66,20,4,0,4.36,4.66,75,2
67,30,9,0,10.12,3.55,75,2
68,40,5,0,2.98,4.26,75,2
69,50,14,0,11.1,6.23,75,2
70,60,4,0,10.01,4.94,73,2
71,70,8,0,5.28,6.07,73,2
72,80,4,0,7.84,3.55,73,2
73,90,4,0,11.03,3.34,73,2
74,100,2,0,4.11,4.99,73,2
75,110,2,0,3.6,5.01,74,2
76,120,7,0,8.67,7.25,74,2
77,130,6,0,7.12,4.87,74,2
78,140,7,0,2.7,4.22,74,2
79,150,13,0,11.63,5.78,74,2
80,160,0,0,2.62,2.73,73,2
81,170,2,0,3.09,4.18,73,2
82,180,6,0,4.61,4.77,73,2
83,190,11,0,3.58,5.39,73,2
84,200,1,0,4.13,3.34,73,2
85,210,8,0,5.36,4.54,74,2
86,220,6,0,3.3,5.53,74,2
87,230,10,0,4.13,4.88,74,2
88,240,4,0,3.53,4.85,74,2
89,250,7,0,3.85,5.51,74,2
90,260,7,0,12.67,4.66,74,2
