,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,2,0,8.31,4.13,72,2
1,20,0,0,8.5,2.83,72,2
2,30,3,0,10.79,6.68,72,2
3,40,2,0,7.98,5.02,72,2
4,50,2,0,7.45,3.19,72,2
5,60,0,0,4.78,2.24,73,2
6,70,5,0,12.18,10.68,73,2
7,80,0,0,9.04,4.01,73,2
8,90,0,0,6.63,3.94,73,2
9,100,5,4,6.74,3.25,73,2
10,110,9,1,9.01,8.43,71,2
11,120,0,2,5.66,2.92,71,2
12,130,0,2,7.94,3.68,71,2
13,140,1,0,8.39,4.62,71,2
14,150,0,3,8.71,3.37,71,2
15,160,1,0,10.0,9.04,71,2
16,170,5,0,12.86,6.69,71,2
17,180,1,0,11.53,5.46,71,2
18,190,0,0,7.85,5.29,71,2
19,200,2,3,15.45,8.24,71,2
20,210,4,0,10.71,9.52,71,2
21,220,0,0,6.33,4.34,71,2
22,230,3,0,6.8,8.53,71,2
23,240,0,0,3.42,5.23,71,2
24,250,2,0,7.39,7.54,71,2
25,260,1,3,10.05,6.54,75,2
26,270,2,2,10.24,9.59,75,2
27,280,0,3,12.85,6.47,75,2
28,290,3,0,5.7,5.08,75,2
29,300,5,2,11.29,8.59,75,2
30,310,1,0,8.41,5.32,72,2
31,320,3,1,6.89,5.43,72,2
32,330,1,1,7.82,5.71,72,2
33,340,2,0,8.5,5.33,72,2
34,350,0,1,6.22,3.65,72,2
35,360,0,0,6.53,5.59,72,2
36,370,2,0,10.63,5.58,72,2
37,380,2,0,9.51,5.87,72,2
38,390,2,1,9.03,7.67,72,2
39,400,3,0,8.71,8.78,72,2
40,410,2,1,8.04,5.93,73,2
41,420,0,0,6.9,5.4,73,2
42,430,1,1,6.02,5.17,73,2
43,440,4,0,9.7,6.97,73,2
44,450,0,1,9.23,4.12,73,2
45,460,4,2,9.07,6.03,74,2
46,470,1,15,10.35,16.09,74,2
47,480,0,4,11.95,6.32,74,2
48,490,4,3,11.21,7.39,74,2
49,500,1,1,8.64,6.26,74,2
50,510,1,0,5.96,5.71,72,2
51,520,2,0,4.14,4.7,72,2
52,530,0,2,6.85,3.87,72,2
53,540,1,3,5.75,4.86,72,2
54,550,2,3,7.99,4.92,72,2
55,560,1,0,6.07,7.17,74,2
56,570,0,2,6.95,4.91,74,2
57,580,5,1,10.7,6.36,74,2
58,590,7,2,8.84,7.01,74,2
59,600,4,0,5.84,4.71,74,2
60,610,1,1,8.8,4.46,74,2
61,620,5,0,11.45,4.05,74,2
62,630,3,1,15.0,7.12,74,2
63,640,0,0,11.86,5.02,74,2
64,650,6,0,10.51,6.73,74,2
65,10,1,0,9.31,6.43,71,2
66,20,4,0,17.0,5.11,71,2
67,30,3,1,8.08,6.08,71,2
68,40,2,2,4.61,4.97,71,2
69,50,1,0,6.0,2.65,71,2
70,60,3,0,7.86,5.45,71,2
71,70,3,0,6.06,4.56,71,2
72,80,7,0,15.33,10.57,71,2
73,90,7,4,16.64,15.01,71,2
74,100,12,0,16.37,6.58,71,2
75,110,4,1,11.61,5.47,72,2
76,120,0,1,6.5,2.48,72,2
77,130,4,0,15.18,5.87,72,2
78,140,10,0,10.99,4.14,72,2
79,150,11,3,9.75,6.24,72,2
80,160,1,3,7.3,3.22,71,2
81,170,1,1,7.04,3.04,71,2
82,180,13,1,11.68,8.64,71,2
83,190,3,0,8.76,6.4,71,2
84,200,4,2,7.99,5.51,71,2
85,210,3,1,8.8,5.89,72,2
86,220,6,1,8.68,4.27,72,2
87,230,0,1,5.53,6.37,72,2
88,240,5,0,8.27,6.19,72,2
89,250,9,2,7.19,5.29,72,2
90,260,10,0,10.32,5.55,73,2
91,270,3,1,6.26,7.03,73,2
92,280,9,1,3.09,1.48,73,2
93,290,7,1,5.36,5.57,73,2
94,300,6,3,6.61,6.25,73,2
95,310,9,0,11.31,11.69,73,2
96,320,5,1,4.21,3.57,73,2
97,330,2,1,5.89,5.19,73,2
98,340,3,3,6.14,5.0,73,2
99,350,18,1,10.71,8.02,73,2
100,360,2,7,9.11,7.59,72,2
101,370,4,0,7.0,6.02,72,2
102,380,2,0,11.03,6.83,72,2
103,390,4,1,6.98,5.08,72,2
104,400,6,0,8.59,6.13,72,2
105,410,7,2,8.77,8.96,74,2
106,420,0,0,4.44,5.52,74,2
107,430,7,1,9.69,6.92,74,2
108,440,8,3,7.46,8.17,74,2
109,450,4,0,7.81,6.18,74,2
110,460,3,0,5.83,4.1,72,2
111,470,1,0,6.89,3.69,72,2
112,480,2,1,8.59,5.69,72,2
113,490,2,0,8.2,7.1,72,2
114,500,5,8,14.86,9.0,72,2
115,510,2,13,7.95,11.39,72,2
116,520,1,1,5.29,1.96,72,2
117,530,2,1,5.75,5.7,72,2
118,540,6,0,8.17,7.32,72,2
119,550,7,0,6.29,4.12,72,2
120,560,0,0,4.5,1.95,73,2
121,570,4,0,8.34,3.55,73,2
122,580,7,0,9.66,3.64,73,2
123,590,3,0,8.56,4.64,73,2
124,600,2,0,8.88,4.61,73,2
125,10,5,3,7.8,8.8,72,2
126,20,8,3,5.62,9.0,72,2
127,30,7,0,11.44,11.62,72,2
128,40,5,0,9.56,10.96,72,2
129,50,3,0,9.34,4.63,72,2
130,60,9,1,8.88,5.89,72,2
131,70,3,0,4.83,5.6,72,2
132,80,2,3,8.61,13.41,72,2
133,90,2,1,6.28,5.6,72,2
134,100,5,0,6.35,4.79,72,2
135,110,14,0,8.7,8.36,73,2
136,120,0,0,4.51,2.09,73,2
137,130,3,0,4.5,4.04,73,2
138,140,3,0,7.77,6.63,73,2
139,150,9,0,7.39,4.99,73,2
