,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,3,0,7.6,6.28,74,1
1,20,4,0,7.73,3.48,74,1
2,30,9,0,9.43,6.75,74,1
3,40,9,0,8.34,5.57,74,1
4,50,8,0,6.67,4.73,74,1
5,60,3,0,8.14,4.61,78,1
6,70,5,0,6.95,3.35,78,1
7,80,5,0,9.86,8.29,78,1
8,90,5,0,8.71,4.28,78,1
9,100,6,0,5.23,4.77,78,1
10,110,5,0,5.26,3.76,74,1
11,120,8,1,9.72,6.44,74,1
12,130,10,0,4.3,5.46,74,1
13,140,9,0,6.2,6.13,74,1
14,150,3,0,6.08,3.19,74,1
15,160,5,0,6.38,3.79,70,1
16,170,6,0,11.97,5.74,70,1
17,180,7,0,8.06,5.38,70,1
18,190,3,0,7.99,3.54,70,1
19,200,5,0,9.65,4.91,70,1
20,210,9,0,9.64,6.27,74,1
21,220,4,0,10.64,6.02,74,1
22,230,10,0,6.4,5.78,74,1
23,240,5,0,4.96,5.83,74,1
24,250,9,0,7.17,7.36,74,1
25,260,9,0,6.32,6.08,73,1
26,270,6,0,6.85,9.1,73,1
27,280,7,0,18.74,14.27,73,1
28,290,5,0,7.69,9.23,73,1
29,300,3,0,4.82,2.83,73,1
30,310,8,0,10.91,6.08,72,1
31,320,4,0,9.47,4.68,72,1
32,330,6,0,5.08,5.38,72,1
33,340,5,0,6.87,5.92,72,1
34,350,3,0,5.17,3.92,72,1
35,360,1,0,7.08,7.21,73,1
36,370,10,0,3.94,6.47,73,1
37,380,3,0,6.41,4.48,73,1
38,390,5,0,5.88,6.75,73,1
39,400,4,0,9.01,7.72,73,1
40,410,8,0,6.51,6.45,73,1
41,420,6,0,6.26,8.51,73,1
42,430,2,0,4.72,6.24,73,1
43,440,10,0,5.39,6.41,73,1
44,450,10,0,6.6,6.5,73,1
45,460,7,0,6.01,6.14,74,1
46,470,6,0,3.02,5.66,74,1
47,480,3,0,6.02,4.58,74,1
48,490,6,0,4.39,6.84,74,1
49,500,4,0,6.66,8.51,74,1
50,510,7,0,6.17,9.21,73,1
51,520,5,0,5.98,11.01,73,1
52,530,6,0,6.21,9.04,73,1
53,540,11,0,4.96,6.58,73,1
54,550,2,0,6.46,7.91,73,1
55,560,4,0,6.5,7.99,76,1
56,570,3,0,6.1,6.88,76,1
57,580,17,0,6.33,8.86,76,1
58,590,9,0,7.44,6.87,76,1
59,600,9,0,6.18,10.15,76,1
60,610,3,0,5.1,8.21,77,1
61,620,4,0,5.84,5.16,77,1
62,630,7,0,5.5,7.84,77,1
63,640,7,0,5.79,7.81,77,1
64,10,4,0,7.54,7.35,77,1
65,20,9,0,6.18,7.66,72,1
66,30,8,0,7.27,7.32,72,1
67,40,3,0,6.66,8.4,72,1
68,50,5,0,6.07,8.99,72,1
69,60,14,0,6.67,5.58,72,1
70,70,3,0,6.63,7.11,73,1
71,80,6,0,6.21,8.49,73,1
72,90,5,0,5.3,6.09,73,1
73,100,4,0,4.07,4.08,73,1
74,110,10,0,5.81,6.18,73,1
75,120,6,0,5.35,8.73,76,1
76,130,3,0,4.61,6.9,76,1
77,140,5,0,5.59,9.18,76,1
78,150,5,0,5.62,6.98,76,1
79,160,5,0,6.01,7.09,76,1
80,170,7,0,5.24,7.41,74,1
81,180,3,0,6.12,8.44,74,1
82,190,6,0,7.41,6.15,74,1
83,200,10,0,6.6,6.91,74,1
84,210,5,0,7.74,6.66,74,1
85,220,8,0,8.57,7.51,72,1
86,230,4,0,7.21,9.77,72,1
87,240,5,0,5.92,6.78,70,1
88,250,11,0,5.13,6.01,75,1
89,260,9,0,5.26,7.08,73,1
90,270,8,0,5.86,6.95,69,1
91,280,5,0,8.97,5.77,71,1
92,290,6,0,7.96,10.43,73,1
93,300,13,0,6.6,6.47,75,1
