,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,0,0,4.44,1.58,97,3
1,20,2,2,5.86,1.84,97,3
2,30,1,0,5.58,1.77,97,3
3,40,2,0,5.98,2.47,97,3
4,50,0,0,5.71,2.02,97,3
5,60,0,0,4.11,1.46,98,3
6,70,3,0,3.49,1.48,98,3
7,80,5,5,11.57,8.98,98,3
8,90,1,0,5.64,3.13,98,3
9,100,0,0,5.08,3.44,98,3
10,110,6,1,6.81,1.8,98,3
11,120,2,0,4.76,1.68,98,3
12,130,13,0,3.99,1.56,98,3
13,140,3,0,3.62,1.59,98,3
14,150,1,0,4.46,2.08,98,3
15,160,4,0,4.33,1.73,95,3
16,170,0,0,3.95,1.56,95,3
17,180,4,0,4.31,2.12,95,3
18,190,6,0,4.64,2.06,95,3
19,200,16,3,5.01,2.76,95,3
20,210,10,0,6.12,3.82,96,3
21,220,6,2,5.31,3.95,96,3
22,230,1,1,4.86,3.82,96,3
23,240,1,0,3.64,2.07,96,3
24,250,4,2,4.1,1.62,96,3
25,260,1,0,3.23,2.06,95,3
26,270,10,0,3.49,1.15,95,3
27,280,4,0,3.51,2.16,95,3
28,290,5,0,4.33,1.48,95,3
29,300,19,1,4.18,1.58,95,3
30,310,1,2,4.75,1.65,96,3
31,320,4,1,3.71,2.06,96,3
32,330,1,0,3.94,2.4,96,3
33,340,9,0,3.64,1.79,96,3
34,350,8,0,3.55,1.89,96,3
35,360,20,1,4.31,3.63,98,3
36,370,23,2,3.93,3.28,98,3
37,380,4,0,3.54,1.32,98,3
38,390,9,0,2.94,1.7,98,3
39,400,6,0,3.5,1.48,98,3
40,410,5,0,3.33,1.72,95,3
41,420,6,0,3.31,1.53,95,3
42,430,9,0,3.69,1.2,95,3
43,440,10,1,5.9,1.75,95,3
44,450,16,1,3.54,2.08,95,3
45,460,11,2,4.3,1.86,95,3
46,470,15,0,3.48,2.2,95,3
47,480,27,0,3.14,1.36,95,3
48,490,11,1,3.46,1.84,95,3
49,500,24,0,3.46,1.2,95,3
50,510,5,0,4.17,2.21,96,3
51,520,19,0,4.11,2.22,96,3
52,530,3,0,3.46,1.36,96,3
53,540,9,2,3.62,1.68,96,3
54,550,17,0,4.72,2.28,96,3
55,560,12,0,3.44,2.05,96,3
56,570,10,0,2.63,1.55,94,3
57,580,7,0,3.81,1.26,93,3
58,590,17,0,3.98,1.76,94,3
59,600,22,0,4.37,1.89,91,3
