,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,3,0,3.83,2.4,74,2
1,20,3,0,3.24,2.0,74,2
2,30,14,0,3.58,2.28,74,2
3,40,5,0,4.42,3.01,74,2
4,50,17,0,7.38,3.41,74,2
5,60,3,0,6.35,2.17,72,2
6,70,3,0,8.63,3.46,72,2
7,80,9,0,3.73,4.31,72,2
8,90,3,0,4.32,3.43,72,2
9,100,16,0,7.48,2.42,72,2
10,110,0,0,3.13,1.67,75,2
11,120,15,0,3.26,2.14,75,2
12,130,9,0,3.29,2.18,75,2
13,140,15,0,4.75,4.39,75,2
14,150,5,0,3.63,3.54,75,2
15,160,9,0,3.2,3.64,73,2
16,170,5,0,3.08,2.34,73,2
17,180,0,0,3.37,2.31,73,2
18,190,0,0,6.18,1.66,73,2
19,200,9,0,5.01,4.61,73,2
20,210,14,0,4.14,2.65,76,2
21,220,17,0,5.32,2.14,76,2
22,230,12,0,5.58,3.59,76,2
23,240,9,0,8.29,4.59,76,2
24,250,21,0,2.96,2.48,76,2
25,260,7,0,4.49,5.75,74,2
26,270,3,0,5.44,2.75,74,2
27,280,2,0,4.19,1.85,74,2
28,290,7,0,5.83,2.91,74,2
29,300,6,0,4.44,4.1,74,2
30,310,7,0,4.5,2.2,73,2
31,320,16,0,7.29,2.32,73,2
32,330,4,0,8.44,6.78,73,2
33,340,14,0,3.77,2.07,73,2
34,350,13,0,4.77,2.19,73,2
35,360,12,0,5.14,2.41,73,2
36,370,14,0,4.33,3.2,73,2
37,380,3,0,5.37,3.78,73,2
38,390,18,0,4.26,1.91,73,2
39,400,6,0,5.46,2.55,73,2
40,410,33,0,4.59,2.92,75,2
41,420,9,0,4.38,1.41,75,2
42,430,13,0,3.88,1.73,75,2
43,440,19,0,5.2,3.21,75,2
44,450,14,0,4.98,5.1,75,2
45,460,13,0,6.42,2.94,74,2
46,470,11,0,5.39,1.96,74,2
47,480,23,0,6.68,3.22,74,2
48,490,12,0,4.31,1.92,74,2
49,500,3,0,3.88,2.81,74,2
50,510,11,0,4.5,2.44,73,2
51,520,23,0,4.4,1.63,73,2
52,530,19,0,5.3,3.72,73,2
53,540,4,0,3.85,1.82,73,2
54,550,8,0,3.91,2.37,73,2
55,560,9,0,3.57,1.83,74,2
56,570,12,0,3.75,1.99,74,2
57,580,3,0,4.81,4.22,74,2
58,590,8,0,4.72,2.43,74,2
59,600,21,0,4.08,1.96,74,2
60,610,21,0,3.78,1.42,74,2
61,10,6,0,4.63,1.77,74,2
62,20,5,0,3.45,2.25,74,2
63,30,4,0,4.52,2.57,74,2
64,40,3,0,3.35,2.47,74,2
65,50,11,0,6.24,2.37,74,2
66,60,13,0,6.2,2.83,74,2
67,70,7,0,6.29,2.84,74,2
68,80,4,0,5.74,2.97,74,2
69,90,12,0,6.86,3.08,74,2
70,100,2,0,5.25,2.46,77,2
71,110,13,0,3.82,2.88,77,2
72,120,28,0,3.37,3.47,77,2
73,130,13,1,3.25,2.74,77,2
74,140,33,0,4.02,2.14,77,2
75,150,33,0,3.77,2.3,74,2
76,160,18,0,3.36,3.01,74,2
77,170,19,0,3.83,2.15,74,2
78,180,20,0,3.45,1.86,74,2
79,190,19,0,3.53,1.79,74,2
80,200,10,0,3.88,1.97,73,2
81,210,10,0,4.77,3.01,73,2
82,220,13,0,4.3,2.76,73,2
83,230,12,0,3.61,1.89,73,2
84,240,1,0,3.23,1.7,73,2
85,250,8,0,3.74,1.68,76,2
86,260,16,0,3.25,3.16,76,2
87,270,21,0,3.3,2.65,76,2
88,280,7,0,3.37,2.41,76,2
89,290,6,0,3.23,1.59,76,2
90,300,15,0,3.79,1.79,75,2
91,310,21,0,3.44,3.55,75,2
92,320,7,0,3.43,1.78,75,2
93,330,8,0,3.58,2.52,75,2
94,340,15,0,3.71,2.1,75,2
95,350,19,0,3.57,2.1,74,2
96,360,6,0,4.19,6.19,74,2
97,370,17,0,3.76,2.11,74,2
98,380,18,0,4.02,2.08,74,2
99,390,10,0,3.35,2.16,74,2
100,400,22,0,3.33,1.56,73,2
101,410,18,0,3.49,2.01,73,2
102,420,32,0,3.08,1.77,73,2
103,430,12,0,3.42,2.02,73,2
104,440,21,0,3.69,1.61,73,2
105,450,24,0,3.82,1.45,75,2
106,460,28,0,3.06,1.94,75,2
107,470,21,0,3.71,1.97,75,2
108,480,17,0,4.78,2.17,75,2
109,490,22,0,3.25,1.42,75,2
110,500,23,0,3.91,2.35,75,2
111,510,9,0,4.67,3.4,75,2
112,520,12,0,3.73,3.47,75,2
113,530,13,0,4.18,2.82,75,2
114,540,17,0,3.4,1.95,75,2
115,550,24,0,3.42,1.66,73,2
116,560,19,0,3.95,3.04,76,2
117,570,14,0,3.77,2.78,70,2
118,580,17,0,3.16,2.33,75,2
119,590,9,0,4.27,3.44,77,2
120,600,17,0,3.38,1.77,70,2
121,610,7,0,3.0,2.85,77,2
122,620,19,0,3.4,1.78,75,2
123,630,13,0,3.24,3.04,76,2
