,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,1,0,10.23,3.91,67,2
1,20,6,0,7.72,4.03,67,2
2,30,5,0,8.81,1.86,67,2
3,40,10,0,8.14,6.1,67,2
4,50,5,0,8.16,2.39,67,2
5,60,1,0,3.3,1.43,72,2
6,70,4,0,7.59,6.56,72,2
7,80,4,0,9.22,2.03,72,2
8,90,6,0,12.69,1.93,72,2
9,100,12,0,12.19,4.74,72,2
10,110,4,0,8.95,2.05,76,2
11,120,7,0,7.45,3.16,76,2
12,130,5,0,9.18,3.9,76,2
13,140,14,0,10.61,9.28,76,2
14,150,16,0,5.23,1.34,76,2
15,160,11,0,7.64,2.48,72,2
16,170,7,0,6.84,4.48,72,2
17,180,22,0,10.14,4.69,72,2
18,190,14,0,6.39,2.0,72,2
19,200,9,0,5.55,3.43,72,2
20,210,5,0,6.73,2.63,68,2
21,220,20,0,9.39,3.06,68,2
22,230,12,0,9.9,4.04,68,2
23,240,16,0,7.32,2.38,68,2
24,250,16,0,9.01,3.65,68,2
25,260,5,0,8.84,3.64,75,2
26,270,14,0,6.4,1.85,75,2
27,280,13,0,17.02,3.75,75,2
28,290,22,0,6.72,4.57,75,2
29,300,14,0,8.39,2.12,75,2
30,310,6,0,7.45,4.41,69,2
31,320,3,0,7.41,4.39,69,2
32,330,3,0,8.19,2.15,69,2
33,340,6,0,11.85,10.54,69,2
34,350,9,0,13.51,4.49,69,2
35,360,20,0,6.43,4.63,70,2
36,370,13,0,11.24,4.06,70,2
37,380,12,0,10.65,3.9,70,2
38,390,8,0,7.83,2.84,70,2
39,400,10,0,10.4,3.36,70,2
40,410,19,0,7.2,5.31,69,2
41,420,8,0,7.58,4.98,69,2
42,430,2,0,10.78,2.56,69,2
43,440,6,0,6.18,7.21,69,2
44,450,2,0,2.99,4.53,69,2
45,460,3,0,6.83,3.42,73,2
46,470,10,0,3.46,1.45,73,2
47,480,4,0,4.94,3.5,73,2
48,490,10,0,9.42,4.53,73,2
49,500,3,0,6.5,3.25,73,2
50,510,10,0,7.31,5.19,74,2
51,520,3,0,12.47,5.57,74,2
52,530,3,0,4.75,3.46,74,2
53,540,5,0,6.89,4.62,74,2
54,550,7,0,5.48,1.82,74,2
55,560,8,0,9.5,4.48,68,2
56,570,2,0,7.27,2.49,68,2
57,580,2,0,12.08,4.77,68,2
58,590,10,0,7.1,4.04,68,2
59,600,4,0,6.75,2.72,68,2
60,610,5,0,10.46,6.46,66,2
61,10,2,0,9.53,3.56,66,2
62,20,0,0,8.68,2.42,66,2
63,30,0,0,7.04,2.17,66,2
64,40,1,0,15.56,3.76,66,2
65,50,2,0,12.25,3.95,74,2
66,60,0,0,7.66,2.34,74,2
67,70,5,0,10.82,8.52,74,2
68,80,1,0,11.45,4.09,74,2
69,90,2,0,8.92,4.57,74,2
70,100,3,0,10.15,5.89,73,2
71,110,1,0,9.67,2.64,73,2
72,120,1,0,6.68,4.53,73,2
73,130,0,0,5.81,2.33,73,2
74,140,1,0,11.28,4.01,73,2
75,150,1,0,5.0,4.05,72,2
76,160,1,0,10.07,4.75,72,2
77,170,0,0,7.25,4.82,72,2
78,180,3,0,9.06,4.49,72,2
79,190,0,0,11.06,3.97,72,2
80,200,2,0,9.73,6.53,69,2
81,210,10,0,8.64,6.17,69,2
82,220,5,0,8.44,3.04,69,2
83,230,2,0,11.53,2.87,69,2
84,240,1,0,4.61,3.17,69,2
85,250,1,0,5.94,3.09,71,2
86,260,2,0,6.69,3.41,71,2
87,270,2,0,4.26,7.17,71,2
88,280,2,0,8.09,4.16,71,2
89,290,2,0,9.93,3.87,71,2
90,300,1,0,10.79,6.73,70,2
91,310,0,0,8.17,3.66,70,2
92,320,0,0,12.33,2.99,70,2
93,330,0,0,12.63,3.5,70,2
94,340,1,0,8.85,4.17,70,2
95,350,5,0,13.95,5.16,74,2
96,360,0,0,5.2,1.98,74,2
97,370,3,0,7.22,3.6,74,2
98,380,3,0,11.12,5.76,74,2
99,390,1,0,6.37,4.05,74,2
100,400,1,0,8.56,4.18,69,2
101,410,1,0,4.68,2.23,69,2
102,420,4,0,8.27,7.01,69,2
103,430,3,0,5.29,3.57,69,2
104,440,6,0,6.23,4.45,69,2
105,450,0,0,4.71,3.24,69,2
106,460,3,0,6.33,3.53,69,2
107,470,4,0,5.07,5.33,69,2
108,480,2,0,5.56,4.9,69,2
109,490,1,0,3.53,4.66,69,2
110,500,1,0,6.28,1.97,71,2
111,510,3,0,8.79,4.58,71,2
112,520,0,0,5.9,1.77,71,2
113,530,1,0,4.54,2.44,71,2
114,540,1,0,5.76,1.88,71,2
115,550,2,0,2.49,1.5,72,2
116,560,0,0,5.32,2.77,68,2
117,570,1,0,6.8,5.56,70,2
118,580,1,0,10.5,3.82,70,2
119,590,0,0,9.24,2.52,68,2
120,600,3,0,5.47,4.87,65,2
